country,hdi_rank_2019,hdi_cat_2019,hdi_2019,maternal_mortality_ratio_2017,adolescent_birth_rate_2015_2020,female_parliament_2019,seconday_educ_female_2015_2019,secondary_educ_male_2015_2019,labour_force_participation_female_2019,labour_force_participation_male_2019,life_expectancy_2019,schooling_expectancy_2019,schooling_mean_2019,gross_national_income_2019
Costa Rica,62,very_high,0.81,27,53.5,45.6,55.4,53.3,48.1,76.2,80.3,15.7,8.7,18486
Malaysia,62,very_high,0.81,29,13.4,15.5,72.2,76.5,50.7,77.1,76.2,13.7,10.4,27534
Kuwait,64,very_high,0.806,12,8.2,4.6,56.6,49.1,49.7,87.5,75.5,14.2,7.3,58590
Serbia,64,very_high,0.806,12,14.7,37.7,86.3,93.6,47.4,62.8,76,14.7,11.2,17192
Mauritius,66,very_high,0.804,61,25.7,20,65.8,68.5,45.2,72,75,15.1,9.5,25266
Seychelles,67,high,0.796,53,62.1,21.2,NA,NA,NA,NA,73.4,14.1,10,26903
Trinidad and Tobago,67,high,0.796,67,30.1,32.9,74.5,71.2,50.1,70.2,73.5,13,11,26231
Albania,69,high,0.795,15,19.6,29.5,93.7,92.5,46.7,64.6,78.6,14.7,10.1,13998
Cuba,70,high,0.783,36,51.6,53.2,85.8,89.1,40.7,66.8,78.8,14.3,11.8,8621
Iran (Islamic Republic of),70,high,0.783,16,40.6,5.9,67.4,72.8,17.5,71.5,76.7,14.8,10.3,12447
Sri Lanka,72,high,0.782,36,20.9,5.3,79.2,81,35.4,74.6,77,14.1,10.6,12707
Bosnia and Herzegovina,73,high,0.78,10,9.6,21.1,74,89.3,35.4,58.1,77.4,13.8,9.8,14872
Grenada,74,high,0.779,25,29.2,39.3,NA,NA,NA,NA,72.4,16.9,9,15641
Mexico,74,high,0.779,33,60.4,48.4,62.2,64.2,44.2,78.5,75.1,14.8,8.8,19160
Saint Kitts and Nevis,74,high,0.779,NA,NA,13.3,NA,NA,NA,NA,74.8,13.8,8.7,25038
Ukraine,74,high,0.779,19,23.7,20.5,94,95.2,46.7,63.1,72.1,15.1,11.4,13216
Antigua and Barbuda,78,high,0.778,42,42.8,31.4,NA,NA,NA,NA,77,12.8,9.3,20895
Peru,79,high,0.777,88,56.9,30,58.9,69.4,70.3,85.1,76.7,15,9.7,12252
Thailand,79,high,0.777,37,44.9,14.1,43.5,48.6,59.2,76.1,77.2,15,7.9,17781
Armenia,81,high,0.776,26,21.5,23.5,97.3,97.2,47.1,65.9,75.1,13.1,11.3,13894
North Macedonia,82,high,0.774,7,15.7,39.2,41.8,57.7,43,67.3,75.8,13.6,9.8,15865
Colombia,83,high,0.767,83,66.7,19.6,55.7,53,57.3,80.9,77.3,14.4,8.5,14257
Brazil,84,high,0.765,60,59.1,15,61.6,58.3,54.2,74.1,75.9,15.4,8,14263
China,85,high,0.761,29,7.6,24.9,76,83.3,60.5,75.3,76.9,14,8.1,16057
Ecuador,86,high,0.759,59,79.3,38,52.5,53.3,55.2,81.1,77,14.6,8.9,11044
Saint Lucia,86,high,0.759,117,40.5,20.7,49.2,42.1,59.5,75,76.2,14,8.5,14616
Azerbaijan,88,high,0.756,26,55.8,16.8,93.9,97.5,63.4,69.7,73,12.9,10.6,13784
Dominican Republic,88,high,0.756,95,94.3,24.3,59.7,56.1,51.4,77.4,74.1,14.2,8.1,17591
Moldova (Republic of),90,high,0.75,19,22.4,25.7,96.6,98.1,40.5,46,71.9,11.5,11.7,13664
Algeria,91,high,0.748,112,10.1,21.5,39.1,38.9,14.6,67.4,76.9,14.6,8,11174
Lebanon,92,high,0.744,29,14.5,4.7,54.3,55.6,22.9,71.4,78.9,11.3,8.7,14655
Fiji,93,high,0.743,34,49.4,19.6,79.4,78.2,38.5,76.5,67.4,14.4,10.9,13009
Dominica,94,high,0.742,NA,NA,25,NA,NA,NA,NA,78.2,13,8.1,11884
Maldives,95,high,0.74,53,7.8,4.6,45.4,49.6,41.6,84.2,78.9,12.2,7,17417
Tunisia,95,high,0.74,43,7.8,22.6,42.4,54.6,23.8,69.4,76.7,15.1,7.2,10414
Saint Vincent and the Grenadines,97,high,0.738,68,49,13,NA,NA,54.4,77,72.5,14.1,8.8,12378
Suriname,97,high,0.738,120,61.7,31.4,61.5,60.1,38.8,63.7,71.7,13.2,9.3,14324
Mongolia,99,high,0.737,45,31,17.3,91.5,86.1,53.3,66.4,69.9,14.2,10.3,10839
Botswana,100,high,0.735,144,46.1,10.8,89.6,90.9,65.4,76.9,69.6,12.8,9.6,16437
Jamaica,101,high,0.734,80,52.8,19,70,62.4,59.8,72.5,74.5,13.1,9.7,9319
Jordan,102,high,0.729,46,25.9,15.4,82.2,86.1,14.4,63.7,74.5,11.4,10.5,9858
Paraguay,103,high,0.728,84,70.5,16.8,49.2,51.2,59.2,84.6,74.3,12.7,8.5,12224
Tonga,104,high,0.725,52,14.7,7.4,94,93.4,45.7,74.3,70.9,14.4,11.2,6365
Libya,105,high,0.724,72,5.8,16,70.5,45.1,33.9,65.3,72.9,12.9,7.6,15688
Uzbekistan,106,high,0.72,29,23.8,16.4,99.9,100,52.4,78.1,71.7,12.1,11.8,7142
Bolivia (Plurinational State of),107,high,0.718,155,64.9,51.8,53.1,59.5,63.2,80.5,71.5,14.2,9,8554
Indonesia,107,high,0.718,177,47.4,17.4,46.8,55.1,53.1,81.9,71.7,13.6,8.2,11459
Philippines,107,high,0.718,121,54.2,28,75.6,72.4,46.1,73.3,71.2,13.1,9.4,9778
Belize,110,high,0.716,36,68.5,11.1,79,78.9,49.9,80.6,74.6,13.1,9.9,6382
Samoa,111,high,0.715,43,23.9,10,79.1,71.6,31.1,55.5,73.3,12.7,10.8,6309
Turkmenistan,111,high,0.715,7,24.4,25,NA,NA,51.4,78.3,68.2,11.2,10.3,14909
Venezuela (Bolivarian Republic of),113,high,0.711,125,85.3,22.2,71.7,66.6,45.4,74.9,72.1,12.8,10.3,7045
South Africa,114,high,0.709,119,67.9,45.3,75,78.2,49.6,62.7,64.1,13.8,10.2,12129
"Palestine, State of",115,high,0.708,27,52.8,NA,63.5,64.9,17.7,69.5,74.1,13.4,9.2,6417
Egypt,116,high,0.707,37,53.8,14.9,73.5,72.5,21.9,70.9,72,13.3,7.4,11466
Marshall Islands,117,high,0.704,NA,NA,6.1,91.6,92.5,NA,NA,74.1,12.4,10.9,5039
Viet Nam,117,high,0.704,43,30.9,26.7,66.4,78.2,72.7,82.4,75.4,12.7,8.3,7433
Gabon,119,high,0.703,252,96.2,17.9,66.2,50.6,43.5,61.8,66.5,13,8.7,13930
Kyrgyzstan,120,medium,0.697,60,32.8,19.2,99.1,98.3,44.8,75.7,71.5,13,11.1,4864
Morocco,121,medium,0.686,70,31,18.4,29.1,36,21.5,70.1,76.7,13.7,5.6,7368
Guyana,122,medium,0.682,169,74.4,31.9,70.9,56.4,43.9,68.5,69.9,11.4,8.5,9455
