"","super_opeid","cohort","name","type","tier","tier_name","iclevel","region","state","cz","czname","cfips","county","multi","count","female","married","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","ktop1pc_cond_parq1","ktop1pc_cond_parq2","ktop1pc_cond_parq3","ktop1pc_cond_parq4","ktop1pc_cond_parq5"
"66",12891,1991,"Antonelli College","Private For-profit","Two-year for-profit","Two-year for-profit","Two-year","South","MS",3003,"Jackson",28121,"Rankin",0,201,0.770539582,0.131133184,0.034441844,8.52e-05,32380.5332,25100,0.308372051,0.442324416,0.237030053,0.182857815,0.097876955,0.039910761,0.010053722,0.002317645,0.001468093,0.000113337,0.460667122,11352.04883,10000,11900,0.135410786,0.14378182,0.234337545,0.338188042,0.18793917,0.095753423,0.015944198,0.007276766,0.00124065,0.439769149,0.474988252,0.473455101,0.444428086,0.588456988,0.180023592,0.230855402,0.361527093,0.14972834,0.077865574,0.123736761,0.201126417,0.38052866,0.210395941,0.084212221,0.081562168,0.300095709,0.299353412,0.191357108,0.127631604,0.156915623,0.253008185,0.243737785,0.296282632,0.050055775,0.114028295,0.12310069,0.237620884,0.196691927,0.328558203,0.000192632,0.000710848,0,0,0.024728958
"67",7518,1991,"Apex Technical School","Private For-profit","Less than two-year schools of any type","Less than two-year schools of any type","Less than Two-year","Northeast","NY",19400,"New York",36081,"Queens",0,330,0.022068305,0.038591407,0.094247287,3.8e-05,37608.04688,28600,0.323184401,0.376872057,0.268060916,0.24405775,0.083125766,0.02788351,0.012362206,0.008570782,0.001001802,0,0.515456136,15624.11133,11300,15300,0.173854694,0.177269667,0.252272669,0.151767601,0.139800485,0.278889579,0.150003776,0.060540907,0.003512577,0.47048378,0.504951596,0.579691827,0.509807944,0.678885102,0.253240832,0.221976595,0.181061054,0.093643846,0.250077673,0.165179261,0.26426696,0.141874831,0.184176772,0.244502176,0.114835008,0.249770584,0.123194998,0.138897223,0.373302186,0.111635384,0.370886016,0.098849379,0.184850486,0.233778734,0.008823086,0.214736895,0.258791929,0.210639172,0.307008918,0.000100841,0,0.011778556,0.000796704,0.019140265
"68",2906,1991,"Appalachian State University","Public","Selective public","Selective public","Four-year","South","NC",1001,"Boone",37189,"Watauga",0,3061,0.538074136,0.086013876,0.004754298,1.71e-05,148559.8906,107500,0.727833509,0.033448676,0.067140045,0.137384456,0.272243329,0.489783494,0.27558127,0.122885071,0.016550716,0.000776852,0.543217006,15618.49219,12700,13800,0.07024537,0.075010861,0.274931693,0.231073348,0.199122156,0.219861943,0.099454366,0.042725168,0.003753231,0.526699781,0.527229905,0.566805959,0.547162056,0.537726998,0.050084054,0.277554162,0.269027194,0.261197477,0.142137112,0.091131897,0.25702295,0.258419489,0.202404398,0.191021267,0.067230459,0.234189513,0.236659876,0.2151231,0.246797052,0.065077018,0.273522305,0.226690905,0.217305876,0.217403894,0.082207368,0.289419143,0.225601668,0.179837339,0.222934482,0.000510036,0.004503954,0.007236753,2.51e-05,0.004966953
"69",2239,1991,"Aquinas College","Private Non-profit","Selective private","Selective private","Four-year","Midwest","MI",12200,"Grand Rapids",26081,"Kent",0,367,0.634479761,0.086463854,0.007631153,2.75e-05,117011.0078,88800,0.679593146,0.039578477,0.10847193,0.17945547,0.313298653,0.359195469,0.131111816,0.0752877,0.01236046,0,0.557772482,16309.13379,14000,14600,0.04844762,0.052206761,0.247081501,0.263842866,0.230528804,0.206340067,0.091346085,0.033086177,0.009406052,0.525412977,0.552046657,0.544327736,0.580791414,0.549706578,0.055938672,0.232410232,0.322196992,0.196643434,0.19281067,0.06721622,0.130012134,0.411804419,0.257184901,0.133782326,0.065822108,0.254846173,0.258725998,0.282566157,0.138039565,0.026106219,0.2421636,0.28453514,0.186918437,0.260276603,0.063226131,0.28446161,0.197238869,0.238252661,0.216820729,0.000694834,0.000165764,0.000583982,0,0.025768066
"70",1346,1991,"Arapahoe Community College","Public","Two-year (public and private not-for-profit)","Two-year (public and private not-for-profit)","Two-year","West","CO",28900,"Denver",8005,"Arapahoe",0,953,0.484212399,0.116754912,0.0156405,1.71e-05,102033.4922,84800,0.648484111,0.054882347,0.119839084,0.207539289,0.26339614,0.354343141,0.15559113,0.056568079,0.003271146,9.55e-05,0.58698424,17544.17578,16900,18400,0.098766096,0.103841821,0.172481576,0.19047199,0.265707215,0.267497398,0.116610363,0.044141568,0.006416369,0.579422057,0.600861311,0.569792926,0.589394927,0.591739297,0.116179847,0.129227754,0.237781902,0.231828146,0.28498235,0.09709834,0.158332792,0.200119827,0.246422457,0.298026584,0.126720187,0.180400293,0.176460357,0.273328666,0.243090498,0.098911963,0.178976559,0.184315068,0.259191241,0.27860517,0.094476149,0.174500099,0.1926648,0.277856351,0.2605026,0.000312287,0.008826778,0.005487832,0.004485051,0.008526059
"71",3235,1991,"Arcadia University","Private Non-profit","Selective private","Selective private","Four-year","Northeast","PA",19700,"Philadelphia",42091,"Montgomery",0,495,0.69799304,0.028222309,0.00922934,1.03e-05,116299.9766,94900,0.68064326,0.048280834,0.082118051,0.189877449,0.267512934,0.412210731,0.188663229,0.100667506,0.007884252,0,0.54812633,16821.94531,13600,15400,0.081275828,0.082169982,0.258665287,0.199826704,0.255742853,0.203595174,0.100577548,0.036360625,0.007005659,0.535238206,0.524142265,0.569945753,0.547870576,0.54452908,0.103763279,0.236232997,0.196515535,0.272328686,0.191159503,0.151011638,0.236781734,0.103466001,0.338213527,0.1705271,0.041613298,0.289944769,0.194568713,0.23170955,0.24216367,0.098843039,0.236895917,0.218599568,0.215548062,0.230113415,0.073787998,0.265371576,0.209649856,0.274526692,0.176663877,0.000212459,0,0,0.000602885,0.016579195
"72",21799,1991,"Argosy University","Private For-profit","Four-year for-profit","Four-year for-profit","Four-year","West","CA",38300,"Los Angeles",6071,"San Bernardino",0,1125,0.6852718,0.141106471,0.027511304,7.45e-06,45513.17188,34200,0.387273699,0.283942701,0.263576413,0.231809154,0.168675705,0.051996026,0.014720036,0.003776731,0.00089836,0,0.494673699,13233.76367,11200,13700,0.143246651,0.149042522,0.242098304,0.222855582,0.231454243,0.154549349,0.060825761,0.026104869,0.00087722,0.441519827,0.456892163,0.506266952,0.596992493,0.592851579,0.207392863,0.253098407,0.244817403,0.197800991,0.096890336,0.15183944,0.291752445,0.240150372,0.192164655,0.124093087,0.141580924,0.21710635,0.221182021,0.290395423,0.129735282,0.085213367,0.17983347,0.167095124,0.264594071,0.303263967,0.056549672,0.24373053,0.203603803,0.244117027,0.251998967,2.62e-05,0,0.000105591,0.004822586,0.000612326
"73",35,1991,"Arizona State And Northern Arizona University And University Of Arizona","Public","Selective public","Selective public","Four-year","West","AZ",35001,"Phoenix",4013,"Maricopa",1,17579,0.547915578,0.070086777,0.015463403,0.000626657,174926.9219,104500,0.700890005,0.059949205,0.099104345,0.150006523,0.21661878,0.474321146,0.293948859,0.163462162,0.031880617,0.002834995,0.587961522,19248.87109,15700,17500,0.093650579,0.096490754,0.192076043,0.202480704,0.21360044,0.295352059,0.16971831,0.085999839,0.016146205,0.565359116,0.59008491,0.588426352,0.597502649,0.585870206,0.124891053,0.175157023,0.196940525,0.245069645,0.257941754,0.094151389,0.170243625,0.213388317,0.241655596,0.280561074,0.095546202,0.178008635,0.207552348,0.230286704,0.288606111,0.081547378,0.176590699,0.222182749,0.229313481,0.290365692,0.100513284,0.210297007,0.19030019,0.191308096,0.307581422,0.01045314,0.006753672,0.01022873,0.016347682,0.020607638
"74",1071,1991,"Arizona Western College","Public","Two-year (public and private not-for-profit)","Two-year (public and private not-for-profit)","Two-year","West","AZ",38100,"Yuma",4027,"Yuma",0,1857,0.474438965,0.170564339,0.020249788,0.000453176,47530.45313,34200,0.401522607,0.219142105,0.315352035,0.25133676,0.146216122,0.067952978,0.021516383,0.00677301,0.000586294,7.48e-05,0.499778167,13305.65234,12000,14000,0.148277313,0.153066069,0.220763494,0.240480393,0.246585219,0.139104825,0.05055704,0.018380029,0.002773215,0.449094355,0.499054343,0.512769401,0.536884725,0.538694263,0.197934453,0.25793925,0.231842707,0.219878767,0.092404823,0.152605975,0.222551067,0.251045655,0.236858297,0.136939006,0.139349762,0.196125711,0.260872619,0.256653782,0.146998126,0.133108262,0.201554232,0.19293642,0.313019846,0.159381241,0.104180873,0.22503992,0.246182618,0.197661671,0.226934919,0.002067953,0.0032026,0.00215115,0.004039587,0.002630899
"75",12860,1991,"Arkansas Northeastern College","Public","Two-year (public and private not-for-profit)","Two-year (public and private not-for-profit)","Two-year","South","AR",25800,"Blytheville",5093,"Mississippi",0,340,0.607152462,0.220019847,0.037042376,0.005859413,39315.94141,28600,0.389153928,0.253910842,0.29757845,0.206521776,0.165936711,0.076052221,0.031670231,0.003321218,0,0,0.560206601,17382.02148,14700,15900,0.107020758,0.102479724,0.17988107,0.246611677,0.265079323,0.205948206,0.125131354,0.069586784,0.017950038,0.497159421,0.56180191,0.553980768,0.641197205,0.604650915,0.136773891,0.256992303,0.26322993,0.197116542,0.145887333,0.116348405,0.142659397,0.239864197,0.309486035,0.191641966,0.104486558,0.178481037,0.266635438,0.268458578,0.181938389,0.068221276,0.122369694,0.198447678,0.252704884,0.358256467,0.003016462,0.197360841,0.268243952,0.336050161,0.195328583,0.023076656,0,0.000375067,0.055199333,0.037521183
