"countyfips","vaccine_rate","fullvaccine_rate"
27021,50.6,44.6
27023,49.2,44.5
27025,53.4,49
27027,38,33.1
27029,40,36.6
27031,76.8,71.1
27033,52.1,48.2
27035,53.4,49.4
27037,63.5,58.9
27039,54.5,50.7
27041,53.9,50
27043,53.8,49.6
27045,62.8,58.2
27047,52.9,49.3
27049,61.8,57.4
27051,51.3,48.5
27053,68.8,63.4
27055,47,38
27057,43.9,40.6
27059,40,35.1
27061,53.1,48.4
27063,46.6,42.6
27065,39.4,35.7
27067,49.9,44.8
27069,51.8,47.3
27071,55.7,51.9
27073,53.7,51.6
27075,62.2,59
27077,52.4,49.4
27079,44.3,41.6
27081,48.4,43.1
27083,52.6,48.4
27085,53.8,48.4
27087,57.4,52
27089,43.7,38.5
27091,51.9,48.4
27093,44.6,40.7
27095,54.6,49.6
27097,47.2,40.9
27099,56.8,53.3
27101,50.8,46
27103,57.9,54.4
27105,55,50.6
27107,52.5,47.7
27109,69.7,65.2
27111,46.7,42.6
27113,46.5,44.5
27115,45.9,41.4
27117,50.8,47.1
27119,38.6,34.9
27121,52.9,49.7
27123,66.2,60.7
27125,53.1,47.1
27127,49.7,45.7
27129,51.6,46.8
27131,59.4,55.4
27133,50.9,46
27135,48.7,45.2
27137,63.2,57.5
27139,63.5,58.6
27141,41.3,37.8
27143,44.8,40.3
27145,54.3,48.7
27147,56.1,52.7
27149,52.8,49.3
27151,54,49.4
27153,38.6,36
27155,57.2,53.5
27157,69.2,62.7
27159,47.3,42.2
27161,53.1,49.8
27163,63.6,58.7
27165,52.7,49.2
27167,33.3,28.3
27169,58.3,52.6
27171,49.5,45.9
27173,54.2,49.2
28001,53.7,45.9
28003,38.6,33.4
28005,38.6,33.9
28007,53.3,46.1
28009,50.3,43.5
28011,58.3,51.2
28013,43.8,36.7
28015,40.8,36
28017,48.3,42.7
28019,35.4,30.9
28021,53.8,46.4
28023,56,48
28025,45.4,40.3
28027,49.8,43.1
28029,53.3,46.4
28031,51.1,43.8
28033,52.2,44.5
28035,41.5,35.7
28037,47.2,41.7
28039,39.5,33.9
28041,36.8,32.4
28043,52.3,46.1
28045,40.3,34.4
28047,54.2,45.5
28049,56.6,50
28051,57.7,50.6
28053,59,49
28055,35.7,32.1
28057,34.8,31
28059,44.9,38.6
28061,49.9,42.4
28063,69.1,59.8
28065,43.3,38.3
28067,43,36.4
28069,44.1,39.2
28071,53.5,48.8
28073,58.1,51.7
28075,50.9,44.4
28077,55.3,48.2
28079,46.9,40.6
28081,43.2,38.5
28083,62.1,53.8
28085,39.1,33.6
28087,50,43.6
28089,62.5,56.4
28091,44.9,38.9
28093,52.7,44.6
28095,50.1,44.6
28097,54.7,49
28099,40.4,34.1
28101,52.2,45.2
28103,54.4,48.7
28105,50.6,45.9
28107,45.7,39.4
28109,46,38.7
28111,36.8,31.7
28113,49.8,42.8
28115,41.7,36.7
28117,42.8,37.9
28119,52.2,43.6
28121,50.9,45.5
28123,49.8,43
28125,54.6,48
28127,45,38.9
28129,34.4,29.3
28131,45.6,38.6
28133,52.6,45.8
28135,41.3,36
28137,43.5,37.5
28139,42.3,36.6
28141,39.5,33.9
28143,49.7,42.4
28145,38.8,34.6
28147,40.1,34.8
28149,56.6,50
28151,49.2,42.2
28153,39.2,33.3
28155,47.8,42.7
28157,62.4,55.7
28159,47.5,42.6
28161,65.5,57.8
28163,47.8,42.4
29001,44.2,39.8
29003,35.1,32
29005,54.4,50.1
29007,37.4,32.9
29009,45,38.9
29011,33.9,30.1
29013,38.1,34.2
29015,47.2,42.5
29017,32.9,29.3
29019,61,54.3
29021,37.5,33.1
29023,34.8,29.7
29025,37.7,34.2
29027,46.5,41.6
29029,44.7,40.4
29031,47.6,42.2
29033,48.1,44
29035,34.1,28.9
29037,49.9,44
29039,32,28.5
29041,37.3,33.4
29043,45.7,40.8
29045,30,26.8
29047,51.2,46.1
29049,46.2,41.2
29051,52.7,47.4
29053,42.2,37.8
29055,32.8,29.1
29057,43.7,39.5
29059,35.8,31.6
29061,30.8,28.1
29063,27.3,25.1
29065,31.2,27
29067,24.1,21.3
29069,37.3,31.4
29071,53.6,48.7
29073,50.8,46.8
29075,41.8,38.8
29077,48.6,43.6
29079,35,31.3
29081,33.8,29.5
29083,45.2,39.8
29085,38.8,34.8
29087,40.6,36.9
29089,43.6,38.6
29091,33.4,28.5
29093,38.1,33.6
29095,55.9,47.5
29097,47.4,42
29099,44.2,38.2
29101,41.9,34.3
29103,38.7,36.3
29105,37.5,32.8
29107,45.1,40.3
29109,38,33.6
29111,36.3,30.5
29113,38.1,34.2
29115,46.1,41.1
29117,43.5,38.9
29119,34,26.7
29121,38.9,36
29123,39,33.4
29125,37.5,33.9
29127,41,37.6
29129,34.8,30.9
29131,33.4,29.5
29133,44,37.4
29135,35.7,32.2
29137,44.1,39.5
29139,48.8,43.7
29141,37.6,33.7
29143,33.6,28.9
29145,26,22.6
29147,46.8,43.4
29149,30.9,27.2
29151,39.1,35.7
29153,32.6,27.2
29155,33.5,24.1
29157,38.8,34.9
29159,42.3,37.1
29161,43,38.5
29163,37.8,33.8
29165,54.3,48.3
29167,39.3,34.9
29169,63.2,54
29171,31.8,29.5
29173,27.9,25.6
29175,38.4,32.5
29177,38.4,34.7
29179,26.1,22.1
29181,29.5,25.1
29183,59.2,53.7
29185,34.5,30.5
29186,44.1,40.2
29187,43.4,37.5
29189,62.2,54.7
29195,46.5,41.6
29197,27.5,25.1
29199,26.7,23.2
29201,44.1,38.6
29203,29.3,27.2
29205,45.9,42.5
29207,39.8,34.8
29209,38,34.3
29211,42.9,38.5
29213,41.7,35.8
29215,32.6,28.9
29217,34.5,30.8
29219,40.8,37
29221,32.3,27.3
29223,37.1,32
29225,42.8,38.2
29227,39.8,35.9
29229,37.1,32.3
29510,57.3,48.3
30001,51.3,48
30003,81.4,66.7
30005,80.7,70.3
30007,35.3,28.5
30009,45.8,42.7
30011,29,26.8
30013,51.9,46.6
30015,30.4,26.7
30017,41,37.3
30019,39.3,35.9
30021,36,33.4
30023,55,51.7
30025,32,29.4
30027,44.8,40.8
30029,40.8,36.4
30031,59.6,50.9
30033,19.4,17.2
30035,97.8,70.1
30037,43.4,39
30039,37.2,32.8
30041,59.3,50.7
30043,48.1,43.5
30045,36.6,33.9
30047,55.2,49.7
30049,57.2,52
30051,30.4,30.2
30053,33.8,30.5
30055,16.6,16.2
30057,43.9,39.7
30059,48.2,44.7
30061,53.9,47.8
30063,61.3,57.5
30065,33.3,30.4
30067,60.5,51.1
30069,29.6,27.7
30071,41.7,37.3
30073,54.6,46.3
30075,20.6,19.1
30077,43.8,40.1
30079,36.2,33.1
30081,47.3,43.2
30083,35.1,32.3
30085,62.1,51.8
30087,80.6,66.7
30089,36.2,34.1
30091,44.9,42.1
30093,59.1,55
30095,40.9,37.2
30097,38.3,35.9
30099,41.5,35.2
30101,41.9,38.6
30103,45.7,40.7
30105,42.1,39
30107,33.2,31
30109,27.2,23.9
30111,49.9,44.8
31001,NA,37
31003,NA,33.6
31005,NA,16.6
31007,NA,25
31009,NA,22.2
31011,NA,44.8
31013,NA,27.4
31015,NA,30.7
31017,33.4,31.9
31019,NA,35
31021,NA,51.4
31023,NA,45.2
31025,54.8,52
31027,NA,37.1
31029,NA,27.7
31031,31.9,29.8
31033,38.5,37.5
31035,NA,37.3
31037,41.1,39.4
31039,NA,46.3
31041,34,33.7
31043,57.3,54.2
31045,NA,33.5
31047,40.6,39.8
31049,NA,29.2
31051,NA,38
31053,NA,46.3
31055,59.9,56.8
31057,36.5,33.2
31059,NA,46.9
31061,NA,34.3
31063,NA,23.6
31065,NA,38.4
31067,NA,37.4
31069,NA,40.7
31071,NA,26.6
31073,NA,34.3
31075,NA,17.3
31077,NA,36.1
31079,NA,40.7
31081,NA,40
31083,36.4,36.4
31085,NA,21
31087,NA,29.8
31089,NA,37.1
31091,NA,37.7
31093,NA,38.2
31095,49.5,49.1
31097,NA,48.5
31099,42,41.7
31101,NA,31.8
31103,26.1,25.8
31105,NA,31.4
31107,NA,43.9
31109,62,59
31111,NA,26.8
31113,NA,17.9
31115,25.3,25.3
31117,NA,11.9
31119,NA,39.9
31121,39.4,38
31123,31.3,30.8
31125,NA,26.2
31127,NA,44.4
31129,45.3,44.8
31131,NA,49
31133,40,39
31135,34.7,34.5
31137,NA,33.7
31139,NA,33.8
31141,NA,40.1
31143,NA,36.4
31145,NA,32.3
31147,46.6,46.3
31149,NA,32
31151,NA,44.3
31153,57.7,54.7
31155,NA,45.9
31157,NA,34.9
31159,NA,44.7
31161,NA,28
31163,NA,35.9
31165,NA,21.9
31167,NA,24.5
31169,NA,41.5
31171,NA,21.9
31173,62.5,55.5
31175,NA,28.9
31177,50.6,49.1
31179,NA,36.6
31181,NA,34.8
31183,NA,27.2
31185,NA,46.6
32001,47.4,41.1
32003,58.1,48
32005,51.8,46.6
32007,40.7,33.9
32009,44.1,35.9
32011,26.9,23
32013,40.2,35.4
32015,37.5,32.7
32017,36.1,32.8
32019,40.9,35.8
32021,55.2,49.1
32023,45.1,40
32027,36.9,31.6
32029,20.3,18.2
32031,63.1,56.3
32033,51.1,45.8
32510,63,56.7
33001,64,55.6
33003,72.9,63.4
33005,62.9,55.9
33007,63.1,55.8
33009,76.4,67.1
33011,64.6,55.8
33013,70.3,62.1
33015,67.7,58.8
33017,63.9,55
33019,63.7,56.1
34001,65.2,56.7
34003,75.6,67.5
34005,71.5,64.5
34007,65.7,58
34009,72.2,65.1
34011,53.6,42.3
34013,69.6,59.4
34015,62,53.4
34017,75.8,64.9
34019,71.1,61.2
34021,70.6,59.8
34023,71.6,62.6
34025,68,59.4
34027,76,68.8
34029,54.6,47.8
34031,68.4,59.2
34033,56.2,46.8
34035,75,65.7
34037,62.7,55.3
34039,69.7,59.9
34041,67.5,58.9
35001,56.3,54
35003,NA,30.1
35005,35.8,34.5
35006,57.5,56.5
35007,NA,39.5
35009,35.4,32.4
35011,NA,36.2
35013,57.4,53.6
35015,36.7,34.2
35017,NA,54.1
35019,34.3,32.1
35021,NA,36.8
35023,NA,43
35025,28.8,27.5
35027,NA,39.7
35028,NA,67.5
35029,NA,54.6
35031,109,92.9
35033,NA,45.1
35035,45.9,43.4
35037,NA,32.2
35039,65.5,65
35041,NA,27.2
35043,62,60.3
35045,67.6,65.4
35047,NA,44.8
35049,66.7,62.3
35051,NA,46.9
35053,NA,53.3
35055,62.9,61.1
35057,38.8,38
35059,NA,21.8
35061,47.4,46.6
36001,69.9,65.8
36003,40.2,37.4
36005,66.8,57.1
36007,60,56.5
36009,52.7,48.2
36011,55.7,52.5
36013,56.1,51
36015,56,51.6
36017,57.5,53.9
36019,67.7,64.3
36021,71.5,65.8
36023,55.8,52.5
36025,55,50.9
36027,66.6,60.8
36029,65.3,60.6
36031,67.4,64
36033,59.7,56.2
36035,50.7,47.5
36037,56.6,52.7
36039,60.1,54.9
36041,84.4,77.9
36043,55.5,51.8
36045,71.1,60.4
36047,64.8,56.5
36049,47.9,45.5
36051,56.2,52.9
36053,57.9,54.5
36055,67.3,63.5
36057,62.4,58.5
36059,77.7,69.3
36061,82.8,71.8
36063,62.6,58.3
36065,58.3,54.2
36067,69.2,65.2
36069,64,60.8
36071,62.5,56.7
36073,51.8,48
36075,55.7,52.6
36077,57.7,54.4
36079,69.4,64.1
36081,80.5,71
36083,66.5,62.1
36085,67.5,59.9
36087,60.6,55
36089,56.7,53.7
36091,74.4,70.1
36093,67.6,63.3
36095,53.4,50.5
36097,59.5,56
36099,51,47.9
36101,56.1,51.7
36103,71.4,65.1
36105,57,51.8
36107,57.5,53.1
36109,75.3,70.3
36111,69.1,63.6
36113,73.2,69.2
36115,62.3,58.1
36117,58.4,55
36119,76.1,68.4
36121,47.9,44.9
36123,49.9,46.6
37001,57.6,49.3
37003,44,38.3
37005,61.2,49.6
37007,37.3,26.2
37009,54.8,44.6
37011,55.1,46.3
37013,54.6,47
37015,53.3,40.2
37017,40.7,31.7
37019,66.2,53.4
37021,67.2,56.5
37023,46.2,40.5
37025,55.9,46.3
37027,46.3,40.6
37029,46.5,36.8
37031,49.8,39
37033,50.5,43.9
37035,55,47
37037,59.3,49.7
37039,54,45.9
37041,57.5,43.8
37043,46,34.2
37045,49.3,40.2
37047,45.1,36.7
37049,57.9,49.8
37051,63.2,54
37053,55.8,44.6
37055,75,65
37057,46.6,40.1
37059,56.6,48.3
37061,42.6,35.5
37063,70.4,59.5
37065,46.7,39.9
37067,62.7,52.1
37069,52.4,42.1
37071,49.7,40.7
37073,49.8,41.1
37075,50.2,42.1
37077,58.1,50.3
37079,43.9,35.5
37081,62.4,51.7
37083,52.8,44.5
37085,39.5,32.9
37087,57.5,49.7
37089,56.5,49.7
37091,41.7,29
37093,34.8,27.6
37095,64.9,56.6
37097,53.1,43.3
37099,53.3,45.7
37101,52.2,43.7
37103,49.8,43.2
37105,56.5,47.4
37107,54,44.8
37109,48.1,41
37111,47.5,42
37113,40.7,35.7
37115,49.2,42.7
37117,94.8,82.9
37119,64.5,52.4
37121,50.4,42.2
37123,42.3,35.6
37125,59.3,49.8
37127,57.8,49
37129,65.7,53.4
37131,48.1,40.2
37133,57.8,46.3
37135,76.5,64.7
37137,57.3,48.9
37139,55.8,42
37141,52.4,43.4
37143,38.4,23.3
37145,55,47.9
37147,52.8,45.1
37149,46,39.2
37151,43.2,37.1
37153,47.5,40.4
37155,43.7,34.2
37157,49.8,42.2
37159,44.1,37.1
37161,42.5,34.5
37163,52.4,42.9
37165,46.6,39.4
37167,33.6,22.8
37169,40,33.5
37171,49.2,43
37173,55.2,46.2
37175,55.4,48.1
37177,46.7,40.2
37179,55.1,46.2
37181,50.4,40.5
37183,73.1,61.1
37185,45.5,33.1
37187,49.4,39.3
37189,58.4,47.5
37191,51.9,42.3
37193,48.8,39
37195,51.8,43.8
37197,48.4,42.5
37199,50.5,44.4
38001,48.8,43.2
38003,57.2,50.7
38005,48.1,44.2
38007,22.2,19.1
38009,48.3,43.3
38011,41.5,33.6
38013,37,34
38015,47.7,41
38017,55.8,50.1
38019,58,53.7
38021,50.2,47.2
38023,40.8,36
38025,24.2,20
38027,49.8,47.2
38029,35.1,29.3
38031,53.1,47.9
38033,31.2,24.6
38035,55.8,48.6
38037,21.6,18.3
38039,46,42.6
38041,38.6,33.9
38043,35,28.5
38045,48.5,43.5
38047,35.8,29.9
38049,39.1,36
38051,44.3,37.4
38053,22.9,17.7
38055,45.8,39
38057,37.7,33.5
38059,43,36.9
38061,48,32.8
38063,66.6,62.6
38065,23.8,21.8
38067,53.8,47.1
38069,44.2,41.2
38071,54.8,50.1
38073,58.3,52.7
38075,36.2,32.2
38077,49.9,45.1
38079,61.9,52.7
38081,57.5,53.1
38083,35.8,32.9
38085,46,35.8
38087,12.3,9.33
38089,37.1,30.5
38091,47.5,41.2
38093,53.3,45.7
38095,44.3,41.8
38097,49,44.5
38099,55.3,48.4
38101,46.9,39.8
38103,43.2,38.3
38105,30,24.8
39001,33.2,29.5
39003,40.2,37.5
39005,40.6,36.8
39007,48.8,45.6
39009,47.7,45
39011,36.4,34.9
39013,44.5,40.7
39015,38.4,35.4
39017,52.4,48.9
39019,40.8,38.6
39021,42.3,39.3
39023,48.3,45.6
39025,52.8,49.8
39027,43.9,41.1
39029,45.8,43
39031,36.5,34
39033,41.6,39.8
39035,59.9,56.3
39037,36.5,34.2
39039,45.6,43.5
39041,67.3,65
39043,55.6,52.8
39045,52.7,49.6
39047,40.6,37.8
39049,58.5,55.4
39051,48.7,46.1
39053,42.4,39
39055,57.1,54.7
39057,62.7,56.2
39059,42,39.1
39061,58.5,54.5
39063,47.5,44.9
39065,35.5,32.9
39067,40.6,37.5
39069,49.8,48
39071,35.9,32.7
39073,44.2,41.1
39075,17.1,16.1
39077,44.4,41.7
39079,43.2,40
39081,47.3,43.8
39083,40.2,38
39085,61.2,57.8
39087,44.8,38.1
39089,50.3,48.1
39091,39.1,37.1
39093,58.3,55.2
39095,53.1,49.9
39097,47.2,44.6
39099,53.5,49.9
39101,44.8,41.6
39103,59.2,56.3
39105,42.4,37.8
39107,35.7,33.8
39109,44.2,41.6
39111,42.2,39.4
39113,52.8,48.8
39115,38.6,36.5
39117,38.5,36.4
39119,44.7,42.4
39121,40.1,37.2
39123,58.2,55.2
39125,39.9,37.7
39127,37.7,35.2
39129,46.9,43.9
39131,42,37.6
39133,53,50.4
39135,40.5,37.6
39137,44.9,42.6
39139,40.6,38.2
39141,47.7,44.2
39143,49.1,46.7
39145,46.9,42.5
39147,45.1,43
39149,33.3,31.5
39151,50.7,47.6
39153,58.5,55.3
39155,52,48.3
39157,41.2,38.9
39159,56,53.7
39161,41.3,37.8
39163,36.7,34.5
39165,58.4,55.8
39167,50.7,47
39169,42,39.7
39171,42.1,39.8
39173,56.9,54.6
39175,44.2,42.1
40001,38.5,28
40003,44.9,40.5
40005,34.3,30.4
40007,30.5,26
40009,41.4,36.1
40011,46.8,40.1
40013,38.2,32.6
40015,62.8,55.2
40017,57.4,49.2
40019,45.6,37.2
40021,48.6,39
40023,33.6,28.2
40025,28.8,25.2
40027,53.5,46.1
40029,39.2,34.9
40031,60.8,49.4
40033,47.2,39
40035,55.1,45.5
40037,43.5,37.4
40039,49.2,41.8
40041,41.3,31.7
40043,25.1,22.9
40045,35.3,31.1
40047,49.8,42.2
40049,47.5,41.1
40051,37.8,32.7
40053,44.4,37
40055,36.9,32
40057,48.9,42.1
40059,43.9,38.8
40061,41,35.4
40063,45.9,39.2
40065,52.5,43.7
40067,41.5,35.8
40069,42.5,35.5
40071,43,36.3
40073,46.5,39.1
40075,52.7,45.4
40077,33.2,29.4
40079,38.8,34
40081,40.5,34.4
40083,34.1,29.2
40085,42.2,35
40087,48.8,42.1
40089,36,29.4
40091,55.6,48.4
40093,48.8,42.7
40095,46.7,37.6
40097,45.2,36.9
40099,44.9,39.4
40101,53.7,43.1
40103,62.7,53.9
40105,45.1,35.1
40107,46.3,40.6
40109,65,54.6
40111,43.1,37.1
40113,35.8,29.3
40115,39.4,33.1
40117,50.1,42.8
40119,49.3,41.9
40121,45.8,38.2
40123,53.1,44.8
40125,48.1,40.9
40127,34.3,30.1
40129,34.9,31.7
40131,46.1,40.1
40133,52.8,45.2
40135,40.1,33.8
40137,48.9,41
40139,42.9,36.4
40141,48,40.6
40143,61.4,52.8
40145,47.1,40.6
40147,45,36.7
40149,40.7,33.3
40151,41.4,35.5
40153,38.3,33
41001,80.3,64.9
41003,71.4,67.5
41005,64.1,60.5
41007,64.7,58.5
41009,59.2,53.4
41011,56.7,50.7
41013,49.1,44.6
41015,57.9,49.1
41017,66,60.9
41019,53.3,47.5
41021,44.4,38.5
41023,44,40.7
41025,44.7,39.5
41027,79,73.6
41029,56.7,51.2
41031,60.2,53.7
41033,49.7,45.1
41035,49.1,44.1
41037,38.2,35.3
41039,66.8,61.2
41041,68.6,63.6
41043,53.8,49.4
41045,44.5,39
41047,60.6,54.8
41049,52.1,46.3
41051,76.6,69.8
41053,60,56
41055,57.5,50.5
41057,63.7,58.6
41059,53.2,47
41061,47.1,42.6
41063,57.1,52.5
41065,62.6,57.5
41067,70.8,66.4
41069,54.4,51.1
41071,60.5,55.2
42001,54.6,48.2
42003,74.9,59.9
42005,58.6,52.1
42007,52.9,47.5
42009,37.4,33.7
42011,64.2,53.8
42013,51.7,45
42015,42.5,37.1
42017,78,62.9
42019,63.6,56.4
42021,56.1,49.6
42023,67.7,51.9
42025,65.1,56.1
42027,62.5,53.6
42029,92.8,59.5
42031,45.6,40.4
42033,50.3,45.2
42035,44.4,38.7
42037,62.2,55.8
42039,50.6,44.4
42041,77.6,60.6
42043,65.2,56.6
42045,77.4,63.5
42047,58.4,51.4
42049,59.4,53.1
42051,59.7,51.8
42053,72.6,67.6
42055,49.2,43.6
42057,33,29.5
42059,50.4,42.1
42061,50.4,45.1
42063,47.7,41.5
42065,50.4,44.3
42067,43.2,38.6
42069,73.7,64.9
42071,63.3,55.8
42073,54.3,48.5
42075,56.3,49
42077,78.4,64
42079,64.9,55.9
42081,53,47.3
42083,56.7,34.5
42085,56.8,49.8
42087,52.1,46.9
42089,61.8,53.5
42091,89.2,60.3
42093,75.2,69.7
42095,77.1,58.4
42097,59.6,53.5
42099,57.3,45.2
42101,67.7,51.2
42103,61,50.1
42105,30.5,29.4
42107,66.3,55.1
42109,48.6,40.9
42111,49.3,43.1
42113,68,43.8
42115,46.5,41.8
42117,42,38.8
42119,59.7,53.2
42121,42.5,38.9
42123,53.5,42.9
42125,71.5,56.7
42127,64.8,56.1
42129,63,52.6
42131,62.9,54.8
42133,60.3,53.3
44001,74.2,69
44003,74.2,69.4
44005,75.7,69.6
44007,67,61
44009,75,69.6
45001,39,35
45003,47,39.8
45005,58.5,49.7
45007,39.6,35.1
45009,50,43.2
45011,54.7,46
45013,69.9,56
45015,46.8,40.1
45017,39.3,33.6
45019,64.1,56.1
45021,33.5,28.7
45023,44.6,38.6
45025,36.6,31.2
45027,47.8,40.3
45029,49.2,41.3
45031,48.3,41.9
45033,44.5,38.3
45035,52.8,45.1
45037,59.2,51.2
45039,54,47.3
45041,53.7,47
45043,56.9,48.5
45045,54,47.1
45047,47.5,42.7
45049,63.6,55
45051,56.9,49.4
45053,39.1,31.6
45055,57,49.6
45057,47.3,37.2
45059,37.6,33.3
45061,40.9,35.7
45063,53.8,47
45065,59.7,53.9
45067,47.8,41.7
45069,42.3,37.1
45071,52.5,46
45073,45.2,40.1
45075,54.6,47.4
45077,46.1,40.8
45079,60.8,52.1
45081,32.2,26.6
45083,42.9,37.5
45085,52.5,41.6
45087,41,35.3
45089,55.8,49.5
45091,48.2,40.1
46003,42.6,41.6
46005,NA,36.7
46007,51.5,44.1
46009,46.1,45
46011,NA,38.8
46013,53,47.8
46015,NA,37.6
46017,56.2,49.3
46019,NA,28.7
46021,30.9,28.5
46023,51.3,42.1
46025,48,44.8
46027,58.4,55.6
46029,NA,39.2
46031,36.3,28.9
46033,NA,38
46035,NA,41.3
46037,NA,47.8
46039,NA,33.2
46041,65.9,56.9
46043,NA,33.9
46045,NA,31.7
46047,NA,44.2
46049,NA,44.2
46051,NA,38.7
46053,NA,37.3
46055,NA,27.8
46057,NA,32.6
46059,NA,35.3
46061,NA,31.4
46063,16.3,15.2
46065,NA,49.6
46067,NA,38.5
46069,NA,39.1
46071,39.9,35.8
46073,NA,38.5
46075,56.5,52.3
46077,NA,56.6
46079,NA,37.5
46081,NA,40.7
46083,41.9,40.2
46085,63.1,52.6
46087,NA,40.4
46089,NA,10.4
46091,43.7,43.6
46093,45.9,43.4
46095,43.5,29.3
46097,48.6,45.4
46099,57.1,52.4
46101,42.3,40.1
46102,65.5,55.7
46103,42.6,40.2
46105,NA,23.6
46107,NA,45.8
46109,NA,49.8
46111,NA,38.7
46115,NA,36.1
46117,58.4,51.6
46119,NA,31.5
46121,56,45.2
46123,NA,30.7
46125,NA,35.8
46127,47.8,43.9
46129,NA,31.3
46135,61.9,55.9
46137,27.2,24.3
47001,54.5,48.1
47003,41.3,34.8
47005,43.5,38.2
47007,35.4,29.6
47009,51.5,45.5
47011,40.9,35.2
47013,43.2,37.1
47015,31.7,26.9
47017,48.4,41
47019,40.2,35.2
47021,49.1,43.2
47023,35.2,30.9
47025,45.3,38.6
47027,29,25.1
47029,49.7,43.9
47031,45.8,38.8
47033,47.8,40.5
47035,46.4,41.6
47037,62.6,55.6
47039,38.1,33
47041,41.1,34.8
47043,47.7,40.8
47045,39.7,33.4
47047,55.8,47.5
47049,32.9,28.6
47051,40.7,34.7
47053,44.6,38.4
47055,38.7,33.1
47057,48.7,42.9
47059,45.9,40.8
47061,30.8,24.6
47063,42.2,36.8
47065,56.3,49.2
47067,32.4,28.3
47069,45.5,39
47071,40.9,35.3
47073,43.8,38.5
47075,51.8,43.8
47077,41.9,36.1
47079,46.4,41.1
47081,41.2,35.5
47083,40.6,35
47085,40.1,34.1
47087,33.5,29.2
47089,49.1,43.5
47091,38.4,32.7
47093,58.3,52.3
47095,35.1,28.9
47097,37.5,31.8
47099,36.7,31.2
47101,35.6,31.1
47103,41.1,36.3
47105,62.5,56.2
47107,38.9,34.1
47109,48.5,41.5
47111,30.6,26.7
47113,53.4,47.4
47115,45.9,38.3
47117,43.1,36.2
47119,62.6,55.2
47121,67.5,59.2
47123,42.3,37.5
47125,54.8,47.9
47127,22.6,19.2
47129,50.5,44.1
47131,40.6,33.5
47133,35.2,30.9
47135,40.2,34.1
47137,43.8,38.8
47139,40.8,36.5
47141,50.1,44.3
47143,42.4,37.1
47145,43.5,38.6
47147,50.8,44.3
47149,51.8,45
47151,35.7,30.9
47153,35.3,28.8
47155,50.4,42.8
47157,56,44.9
47159,32.7,28.1
47161,41.4,35.6
47163,55.5,49.3
47165,46.9,41.1
47167,38.8,33.2
47169,35.7,31.4
47171,53.6,47
47173,34.7,30
47175,57.7,49.3
47177,40.6,34.6
47179,58.2,51.7
47181,41.2,35.6
47183,37.7,32.3
47185,42.4,37
47187,63.1,57.3
47189,50.9,45.3
49001,46.9,38.5
49003,47.8,39.3
49005,55.1,45.5
49007,47.3,40
49009,66.5,50.9
49011,59.7,54
49013,44.1,34.5
49015,42.7,37.2
49017,56,47.9
49019,67.7,57.4
49021,43.2,36.4
49023,36.7,29.8
49025,48.5,42.5
49027,43.5,35.4
49029,50.1,41.9
49031,41.2,32.4
49033,51.1,39.6
49035,65.3,57
49037,57.8,50
49039,39.1,32.5
49041,41.8,34.4
49043,85.9,73.7
49045,54.2,46.3
49047,42.6,33.3
49049,53.2,43.7
49051,56,49.4
49053,49.6,42.6
49055,51.8,45.3
49057,55.4,48
50001,68.3,61.8
50003,42.4,37.5
50005,34.7,31.8
50007,71.1,63.1
50009,39.2,34.1
50011,35.8,31.9
50013,79.2,70.5
50015,63.1,53.5
50017,51.4,45.6
50019,56.9,50.8
50021,68.4,60.9
50023,45.1,40.3
50025,67.5,58.7
50027,50,44.4
51001,68.8,61.7
51003,65.7,58.7
51005,44.6,37.2
51007,38.7,33.6
51009,47.6,42.2
51011,36.2,31.9
51013,75.8,66.9
51015,50.1,45.1
51017,45.9,40.8
51019,46.6,40.7
51021,39.3,34.6
51023,52.3,45.7
51025,55.8,44.3
51027,47.6,41.7
51029,43.1,37.2
51031,42.4,37.6
51033,42,37.5
51035,34.9,30.7
51036,50.2,46.5
51037,41.5,36.5
51041,57.2,50.5
51043,63.5,56
51045,35.7,31.7
51047,48,42.8
51049,39.3,34.2
51051,48.1,40.3
51053,48.7,43.2
51057,48.5,44.2
51059,75.8,67.9
51061,59.7,53
51063,40.6,36.2
51065,61.8,55.7
51067,44.9,39.5
51069,50.4,43.5
51071,46.3,40.7
51073,57.9,51.9
51075,65.7,60.8
51077,41.9,37
51079,49.3,44.5
51081,39.4,33.3
51083,44.6,39.6
51085,59.1,54.4
51087,57.3,51.3
51089,41.7,36.4
51091,58.2,54
51093,51.8,44.8
51095,56.5,50.6
51097,50.4,45.2
51099,48.4,42.7
51101,51.4,46.3
51103,62,56.5
51105,50.7,43.6
51107,69,62.2
51109,44.9,40.1
51111,48.3,43.8
51113,54.8,48.9
51115,60.1,54.1
51117,44.9,39.9
51119,62.6,56.6
51121,48.3,42.3
51125,58.2,52.3
51127,51.9,47.1
51131,69.7,63.6
51133,56.1,51.4
51135,44.8,40.2
51137,45.5,40.5
51139,38.4,34.9
51141,39.9,35.5
51143,43.5,37.8
51145,43.7,38.5
51147,34.9,30.4
51149,60.1,51
51153,69.2,61.5
51155,45.6,40.1
51157,55.8,48.5
51159,41.9,38.4
51161,54.2,47.3
51163,47.8,43.9
51165,44.3,40.4
51167,48.3,41.7
51169,57.6,49.8
51171,50,43.9
51173,49.5,42.7
51175,42.1,34.8
