"countyfips","vaccine_rate","fullvaccine_rate"
8123,55.9,51.2
8125,41.7,36.7
9001,80.2,70.8
9003,73,66.3
9005,74.2,68.1
9007,81.2,74.7
9009,75.3,67.8
9011,75.8,69.7
9013,64.4,60
9015,61.5,56.3
10001,52.5,45.9
10003,67,57.9
10005,66.4,58.1
11001,68.6,57.6
12001,65.7,58.8
12003,37.9,30.1
12005,51.5,43.3
12007,44.9,37.1
12009,64.5,56.2
12011,73,61.5
12013,36.9,30.7
12015,70.3,58.4
12017,57.4,51
12019,50.4,42.6
12021,71.6,62.6
12023,43.1,36.9
12027,49.1,39.2
12029,39.5,30.1
12031,60.4,52.5
12033,54.2,46.3
12035,64,56.5
12037,48.7,42.8
12039,58.3,51.3
12041,38,32.2
12043,33.6,29.3
12045,52.5,44.9
12047,37.4,31.8
12049,41,36
12051,48.8,40.8
12053,54.3,48
12055,56.7,44.9
12057,62.5,52.3
12059,31.5,25.5
12061,71.6,59.4
12063,44.5,36.3
12065,65.1,53.3
12067,40.2,34.7
12069,66.5,58.6
12071,62.9,54.8
12073,57.1,50.1
12075,48.6,41
12077,36.2,31.2
12079,46.9,37.6
12081,62.2,53.9
12083,56.6,50.4
12085,66,56.8
12086,87.3,73
12087,80.8,68
12089,57.5,51.3
12091,59,48.8
12093,47,40.6
12095,69.2,59.5
12097,73.1,61.4
12099,67,58.5
12101,58.2,51
12103,64.5,57.6
12105,56.7,48.6
12107,43,35.1
12109,67.7,62
12111,58.9,50.5
12113,51.7,43.2
12115,73.8,62.8
12117,59.9,54.4
12119,82,74
12121,39.4,33.2
12123,42.9,34.5
12125,47.7,31.9
12127,60.2,53
12129,48.9,39.7
12131,49.2,41
12133,35.2,27.9
13001,16,12.9
13003,19.8,16
13005,13.6,11.8
13007,37.4,32.3
13009,15.4,12.9
13011,14.8,12.9
13013,19.1,18.2
13015,17.3,15
13017,15,12.7
13019,19.1,17.6
13021,28.3,22.5
13023,12.7,10.3
13025,14.6,11.4
13027,34.9,29.9
13029,37.2,31.7
13031,29.9,25
13033,46.2,38.8
13035,14.7,12.7
13037,23.3,19.3
13039,46.2,40.8
13043,20.8,18.2
13045,24.2,21.1
13047,20.1,16.4
13049,13.2,11.3
13051,48.6,42.4
13053,125,92.9
13055,14.8,12.8
13057,31.9,28.7
13059,23.3,22.1
13061,40.4,32
13063,22.5,19.1
13065,36,30.2
13067,42.7,37.5
13069,32,26.6
13071,22.6,19.3
13073,28.2,25.1
13075,39.8,34
13077,29.7,25.8
13079,20,16.8
13081,20.3,17.2
13083,24.6,19.5
13085,13.3,11.5
13087,42.7,36.6
13089,35.1,30.4
13091,12.6,10
13093,20.3,16.2
13095,24.1,21.8
13097,30.8,26.7
13099,21.7,18.5
13101,17.1,13.9
13103,24.6,21
13105,20.4,18
13107,32.8,27.2
13109,23.1,20
13111,21.9,19.6
13113,36,32.9
13115,17.5,16
13117,22.9,21.6
13119,14.3,13
13121,31.9,28.3
13123,13.7,12.4
13125,14.7,12.9
13127,50.3,43.4
13129,14.6,14.2
13131,21,17.9
13133,43.8,38.8
13135,33.3,29.6
13137,19.8,17.5
13139,32,28.1
13141,14.8,12.2
13143,15.4,13.5
13145,21.4,19.4
13147,29.5,25.6
13149,13.2,12.3
13151,22.2,19.7
13153,42.6,33.3
13155,15.4,13.5
13157,25.7,23.2
13159,17.4,15.1
13161,12.6,10.3
13163,33.7,29.7
13165,23.9,20.2
13167,18.5,13.7
13169,26.6,22.2
13171,15,12.6
13173,12.8,10.9
13175,27.3,22.8
13177,18.2,16.7
13179,45.7,38.6
13181,21.2,18.1
13183,8.23,6.61
13185,28.4,25.4
13187,9.95,9.7
13189,20.1,17.3
13191,38.6,34
13193,20.7,17.3
13195,23,21
13197,18.1,15.2
13199,26.2,22.3
13201,24.1,20.4
13205,22.6,19.4
13207,12.9,10.9
13209,24.9,20.7
13211,23.7,22
13213,16,14
13215,36.9,30.9
13217,18.4,16.4
13219,26.8,26.4
13221,28.3,25.5
13223,21,18.8
13225,16.2,12.9
13227,15.1,13.5
13229,27.9,23.6
13231,15.1,13.4
13233,15.7,12.9
13235,17.4,13.5
13237,14.3,12.1
13239,14.1,11
13241,28.6,25.5
13243,21.6,16.1
13245,37.1,31.8
13247,18.4,16.7
13249,NA,16.9
13251,39.5,33.8
13253,19.4,15.8
13255,16.4,14.5
13257,13.8,12.3
13259,20.6,17.8
13261,41.4,36.2
13263,31.5,27
13265,22.3,19.3
13267,15,13
13269,31.8,26.7
13271,20.1,17
13273,27.3,23.6
13275,26.5,22.8
13277,23.9,19.9
13279,22.4,19.2
13281,12.8,11
