class,joindem,attrally,id,age,educ,degree,sex,polviews,racespeech,racehisp,num_action
Working,No And I Will Not,No And I Will Not,2016,55,12,HS Diploma,Male,6,Allowed,White,0
Working,No But I Might,No And I Will Not,2022,44,8,Less Than HS,Male,2,Not allowed,Hispanic,0
Working,No But I Might,No But I Might,2026,23,9,Less Than HS,Male,7,Allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,2027,36,12,HS Diploma,Female,4,Allowed,Hispanic,2
Lower,No And I Will Not,No And I Will Not,2031,71,6,Less Than HS,Female,6,Not allowed,Hispanic,0
Middle,No But I Might,In Past Year,2043,42,18,Grad/Prof Degree,Female,4,Allowed,White,4
Middle,No But I Might,No And I Will Not,2045,75,18,Grad/Prof Degree,Female,5,Allowed,White,0
Upper,Before Last Year,In Past Year,2047,47,14,HS Diploma,Female,4,Allowed,White,5
Lower,No But I Might,No And I Will Not,2056,20,8,Less Than HS,Female,5,Allowed,Hispanic,2
Working,No But I Might,Before Last Year,2058,61,15,HS Diploma,Male,7,Allowed,White,2
Working,No But I Might,No And I Will Not,2059,35,12,HS Diploma,Female,2,Allowed,Hispanic,0
Middle,In Past Year,Before Last Year,2061,58,18,Grad/Prof Degree,Female,1,Allowed,White,7
Working,No And I Will Not,No And I Will Not,2062,25,17,College Degree,Female,3,Not allowed,Hispanic,3
Lower,No And I Will Not,No And I Will Not,2064,64,12,HS Diploma,Female,4,Not allowed,White,0
Lower,No And I Will Not,No And I Will Not,2069,62,12,HS Diploma,Female,4,Not allowed,White,3
Middle,No But I Might,No But I Might,2074,59,16,Grad/Prof Degree,Male,2,Allowed,White,4
Working,No But I Might,In Past Year,2076,25,16,College Degree,Male,4,Allowed,Hispanic,4
Working,No And I Will Not,No And I Will Not,2078,27,12,HS Diploma,Male,4,Allowed,Black,2
Working,No But I Might,Before Last Year,2081,61,14,HS Diploma,Female,3,Not allowed,White,5
Middle,No But I Might,No But I Might,2083,39,14,HS Diploma,Female,4,Not allowed,White,0
Working,No And I Will Not,No And I Will Not,2084,62,13,HS Diploma,Female,4,Not allowed,Black,1
Middle,No But I Might,No And I Will Not,2085,66,17,HS Diploma,Male,6,Allowed,White,3
Working,In Past Year,In Past Year,2087,33,9,Less Than HS,Male,4,Allowed,Black,6
Working,No And I Will Not,No And I Will Not,2091,49,12,HS Diploma,Male,7,Allowed,Black,0
Working,No And I Will Not,No But I Might,2093,78,15,HS Diploma,Male,6,Allowed,White,1
Lower,No But I Might,No But I Might,2094,30,13,HS Diploma,Male,4,Allowed,Hispanic,4
Lower,In Past Year,No But I Might,2097,24,13,HS Diploma,Female,4,Allowed,White,3
Middle,No But I Might,In Past Year,2098,68,12,HS Diploma,Female,4,Allowed,Hispanic,1
Middle,No And I Will Not,No And I Will Not,2099,29,11,Less Than HS,Male,6,Allowed,Hispanic,0
Lower,In Past Year,No And I Will Not,2100,23,13,HS Diploma,Male,5,Allowed,Hispanic,3
Middle,No And I Will Not,No And I Will Not,2104,40,14,HS Diploma,Male,6,Allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,2110,18,16,College Degree,Female,4,Not allowed,White,4
Working,Before Last Year,Before Last Year,2116,36,14,HS Diploma,Female,6,Allowed,White,7
Lower,Before Last Year,In Past Year,2121,27,18,Grad/Prof Degree,Male,1,Not allowed,Hispanic,7
Middle,No And I Will Not,No And I Will Not,2125,38,12,HS Diploma,Female,4,Not allowed,Hispanic,1
Working,Before Last Year,No And I Will Not,2126,68,16,Some College,Male,6,Allowed,Black,4
Working,No But I Might,No But I Might,2129,31,18,College Degree,Female,5,Allowed,Hispanic,0
Working,No But I Might,No But I Might,2137,42,11,Less Than HS,Female,4,Allowed,White,4
Middle,Before Last Year,Before Last Year,2141,46,20,Grad/Prof Degree,Male,3,Allowed,White,5
Middle,No But I Might,In Past Year,2142,55,17,College Degree,Male,2,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,2145,64,9,HS Diploma,Female,5,Allowed,White,0
Middle,No But I Might,In Past Year,2146,55,12,HS Diploma,Male,6,Allowed,White,5
Working,No But I Might,No But I Might,2152,49,12,HS Diploma,Male,5,Allowed,White,3
Middle,No But I Might,In Past Year,2154,63,14,HS Diploma,Female,4,Not allowed,White,4
Middle,Before Last Year,In Past Year,2156,55,17,College Degree,Female,5,Allowed,White,8
Middle,No But I Might,No But I Might,2157,40,16,College Degree,Female,6,Not allowed,White,3
Working,No But I Might,No But I Might,2160,66,12,HS Diploma,Male,3,Not allowed,White,3
Working,No But I Might,No But I Might,2162,34,14,Some College,Female,5,Allowed,White,6
Working,No But I Might,No But I Might,2164,25,13,HS Diploma,Male,6,Allowed,White,1
Working,No But I Might,No But I Might,2165,21,15,Some College,Female,2,Not allowed,White,2
Lower,No And I Will Not,No But I Might,2169,80,12,HS Diploma,Male,4,Allowed,White,1
Working,No But I Might,No And I Will Not,2171,45,14,Some College,Female,4,Allowed,White,1
Working,No And I Will Not,No And I Will Not,2174,28,12,HS Diploma,Female,4,Not allowed,White,0
Working,Before Last Year,Before Last Year,2176,48,16,College Degree,Male,1,Allowed,White,7
Middle,No But I Might,No But I Might,2179,34,14,HS Diploma,Male,2,Not allowed,White,3
Middle,In Past Year,In Past Year,2182,30,18,College Degree,Male,1,Allowed,White,8
Working,No But I Might,Before Last Year,2184,27,14,Some College,Male,2,Not allowed,White,4
Middle,Before Last Year,In Past Year,2185,68,18,HS Diploma,Male,3,Allowed,White,6
Middle,Before Last Year,Before Last Year,2189,33,16,College Degree,Male,3,Allowed,White,7
Working,No But I Might,No But I Might,2190,33,14,HS Diploma,Male,4,Allowed,Hispanic,2
Middle,Before Last Year,Before Last Year,2193,56,14,HS Diploma,Male,2,Allowed,White,8
Working,No But I Might,No But I Might,2198,64,12,HS Diploma,Female,5,Allowed,White,2
Working,No But I Might,No But I Might,2207,55,12,HS Diploma,Male,6,Allowed,White,2
Middle,Before Last Year,Before Last Year,2208,72,18,Grad/Prof Degree,Female,6,Allowed,White,6
Lower,No And I Will Not,No And I Will Not,2211,77,10,HS Diploma,Male,3,Allowed,White,3
Middle,No And I Will Not,No And I Will Not,2213,27,11,Less Than HS,Female,4,Not allowed,Hispanic,1
Middle,No And I Will Not,No And I Will Not,2229,30,15,Some College,Female,4,Allowed,White,0
Working,In Past Year,No But I Might,2230,27,9,HS Diploma,Male,4,Not allowed,Hispanic,3
Working,Before Last Year,No But I Might,2232,29,16,HS Diploma,Male,4,Not allowed,White,2
Working,No But I Might,No But I Might,2234,37,12,HS Diploma,Female,3,Not allowed,White,4
Working,No But I Might,No But I Might,2238,62,12,HS Diploma,Female,4,Allowed,White,1
Working,Before Last Year,Before Last Year,2240,25,13,HS Diploma,Female,1,Allowed,White,7
Lower,No But I Might,No But I Might,2244,32,13,HS Diploma,Female,2,Allowed,White,3
Working,No But I Might,Before Last Year,2245,45,12,HS Diploma,Male,5,Allowed,White,4
Working,No And I Will Not,No And I Will Not,2252,50,12,Less Than HS,Female,4,Allowed,White,1
Working,No But I Might,Before Last Year,2255,65,15,Some College,Female,6,Not allowed,White,5
Working,No But I Might,No And I Will Not,2257,59,9,HS Diploma,Male,1,Not allowed,White,1
Working,No But I Might,No But I Might,2258,60,12,HS Diploma,Male,4,Allowed,White,0
Upper,Before Last Year,Before Last Year,2267,65,16,College Degree,Male,5,Not allowed,White,6
Middle,No And I Will Not,No But I Might,2283,61,12,HS Diploma,Female,6,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,2284,30,12,HS Diploma,Female,4,Allowed,White,1
Working,No But I Might,Before Last Year,2286,48,13,HS Diploma,Female,4,Allowed,Black,3
Lower,Before Last Year,Before Last Year,2292,59,11,HS Diploma,Male,7,Allowed,White,6
Working,Before Last Year,Before Last Year,2298,63,16,Grad/Prof Degree,Male,6,Allowed,White,8
Lower,No And I Will Not,In Past Year,2303,50,16,College Degree,Female,1,Allowed,White,5
Working,No But I Might,No But I Might,2308,60,12,HS Diploma,Female,4,Allowed,White,5
Working,No And I Will Not,In Past Year,2310,79,12,HS Diploma,Female,7,Allowed,White,2
Working,No And I Will Not,No And I Will Not,2312,42,16,College Degree,Female,2,Allowed,White,1
Working,No But I Might,No But I Might,2313,63,12,HS Diploma,Male,2,Not allowed,White,3
Working,No But I Might,No But I Might,2321,63,16,College Degree,Male,5,Allowed,White,2
Middle,No But I Might,No But I Might,2322,29,10,HS Diploma,Male,5,Allowed,Black,2
Lower,No And I Will Not,No But I Might,2323,76,8,Less Than HS,Male,4,Not allowed,White,1
Working,No But I Might,In Past Year,2325,32,16,Some College,Male,4,Allowed,White,6
Working,No But I Might,No But I Might,2330,35,15,HS Diploma,Female,4,Allowed,Hispanic,1
Middle,Before Last Year,Before Last Year,2334,64,13,HS Diploma,Female,6,Allowed,White,5
Lower,No And I Will Not,Before Last Year,2335,60,8,Less Than HS,Female,6,Allowed,White,4
Working,No And I Will Not,No But I Might,2336,59,12,HS Diploma,Male,5,Allowed,White,3
Working,No And I Will Not,No But I Might,2337,31,14,Some College,Female,4,Allowed,Black,2
Middle,No And I Will Not,No And I Will Not,2342,45,14,Some College,Female,5,Not allowed,Black,1
Middle,No But I Might,No But I Might,2343,27,16,College Degree,Female,5,Not allowed,White,4
Working,No And I Will Not,No But I Might,2344,25,13,HS Diploma,Female,4,Not allowed,White,1
Working,No But I Might,No But I Might,2347,52,14,HS Diploma,Female,2,Allowed,Black,3
Working,No But I Might,No But I Might,2348,45,14,Some College,Male,2,Allowed,Black,1
Working,No But I Might,No But I Might,2352,21,12,HS Diploma,Female,4,Not allowed,Other,1
Working,No But I Might,Before Last Year,2356,32,12,HS Diploma,Female,2,Allowed,White,6
Upper,No And I Will Not,No But I Might,2358,83,16,College Degree,Male,4,Not allowed,White,2
Working,No And I Will Not,No And I Will Not,2360,51,11,HS Diploma,Female,6,Allowed,Other,0
Middle,No And I Will Not,No And I Will Not,2361,22,12,HS Diploma,Female,2,Not allowed,Other,1
Middle,No But I Might,No But I Might,2366,61,14,HS Diploma,Male,4,Allowed,White,3
Working,No And I Will Not,No But I Might,2373,65,12,HS Diploma,Female,4,Not allowed,White,1
Working,No But I Might,No But I Might,2376,48,12,HS Diploma,Female,4,Allowed,White,2
Lower,No But I Might,No But I Might,2377,35,11,Less Than HS,Female,4,Not allowed,Other,1
Working,No But I Might,In Past Year,2383,25,17,College Degree,Female,3,Allowed,White,6
Working,No But I Might,No But I Might,2386,31,12,HS Diploma,Female,2,Not allowed,White,3
Working,No But I Might,No But I Might,2390,39,16,College Degree,Female,2,Allowed,White,2
Middle,No But I Might,No But I Might,2391,28,12,HS Diploma,Female,3,Allowed,White,1
Working,No And I Will Not,No And I Will Not,2394,39,17,HS Diploma,Female,6,Not allowed,White,2
Middle,No But I Might,Before Last Year,2407,56,16,College Degree,Male,6,Allowed,White,5
Working,No But I Might,No But I Might,2411,40,16,College Degree,Female,3,Allowed,White,2
Middle,No But I Might,No And I Will Not,2415,59,16,College Degree,Male,3,Not allowed,White,5
Middle,No But I Might,No But I Might,2416,27,13,HS Diploma,Male,3,Not allowed,Hispanic,1
Middle,No But I Might,In Past Year,2417,52,14,Some College,Male,6,Allowed,White,6
Working,No But I Might,No But I Might,2420,32,11,HS Diploma,Female,6,Allowed,White,1
Working,No But I Might,No But I Might,2425,59,12,HS Diploma,Female,4,Not allowed,White,1
Middle,Before Last Year,Before Last Year,2426,32,16,College Degree,Male,6,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,2430,54,10,Less Than HS,Male,4,Allowed,White,0
Lower,In Past Year,In Past Year,2432,70,14,HS Diploma,Male,6,Not allowed,White,7
Working,No But I Might,No And I Will Not,2435,46,19,Grad/Prof Degree,Female,4,Allowed,White,3
Working,No And I Will Not,Before Last Year,2436,82,12,HS Diploma,Male,6,Allowed,White,3
Lower,Before Last Year,Before Last Year,2438,73,9,Less Than HS,Female,5,Not allowed,White,4
Middle,No But I Might,No But I Might,2441,36,11,Less Than HS,Male,4,Not allowed,White,1
Working,No But I Might,No But I Might,2444,58,10,HS Diploma,Female,4,Not allowed,Black,2
Middle,No But I Might,No But I Might,2448,39,11,Less Than HS,Female,4,Not allowed,Other,0
Working,No But I Might,No But I Might,2452,63,8,Less Than HS,Female,4,Allowed,Black,1
Lower,Before Last Year,No And I Will Not,2455,63,12,HS Diploma,Female,4,Allowed,Black,4
Working,No But I Might,No But I Might,2462,75,12,HS Diploma,Male,7,Not allowed,White,3
Working,No But I Might,No But I Might,2463,51,12,HS Diploma,Female,7,Not allowed,White,1
Working,No But I Might,No But I Might,2464,41,16,College Degree,Male,4,Not allowed,Black,2
Middle,In Past Year,No And I Will Not,2469,21,12,HS Diploma,Male,4,Allowed,Black,2
Working,No And I Will Not,No And I Will Not,2475,35,9,Less Than HS,Male,4,Not allowed,Hispanic,0
Working,In Past Year,In Past Year,2477,66,18,Grad/Prof Degree,Female,4,Not allowed,Black,6
Middle,Before Last Year,In Past Year,2479,39,16,College Degree,Female,5,Allowed,White,6
Middle,No But I Might,No But I Might,2483,38,18,Grad/Prof Degree,Female,4,Not allowed,Black,1
Working,In Past Year,No And I Will Not,2484,29,9,HS Diploma,Female,7,Allowed,Black,3
Working,No But I Might,No But I Might,2487,54,13,HS Diploma,Female,6,Allowed,White,3
Working,Before Last Year,No But I Might,2492,30,11,HS Diploma,Male,4,Not allowed,Black,4
Working,No And I Will Not,No But I Might,2495,47,11,HS Diploma,Female,4,Not allowed,Black,1
Working,No And I Will Not,No And I Will Not,2504,44,12,HS Diploma,Male,4,Not allowed,White,0
Middle,No But I Might,No But I Might,2510,88,12,HS Diploma,Female,2,Not allowed,White,2
Middle,No And I Will Not,No And I Will Not,2518,55,12,HS Diploma,Female,6,Not allowed,White,0
Working,No But I Might,No But I Might,2519,35,14,HS Diploma,Female,2,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,2521,37,12,HS Diploma,Female,4,Allowed,White,0
Middle,Before Last Year,In Past Year,2522,66,16,Grad/Prof Degree,Male,2,Allowed,White,8
Working,Before Last Year,In Past Year,2523,49,16,College Degree,Female,3,Not allowed,White,7
Working,No And I Will Not,No And I Will Not,2529,50,16,College Degree,Male,4,Allowed,White,1
Working,No And I Will Not,No But I Might,2534,55,12,HS Diploma,Male,6,Not allowed,White,3
Middle,No And I Will Not,No And I Will Not,2538,76,14,HS Diploma,Female,5,Not allowed,White,2
Middle,No And I Will Not,No And I Will Not,2539,89,14,Some College,Female,6,Allowed,White,2
Working,No And I Will Not,No And I Will Not,2540,57,12,HS Diploma,Male,4,Not allowed,White,1
Working,No But I Might,No But I Might,2541,25,14,HS Diploma,Male,3,Not allowed,White,3
