class,joindem,attrally,id,age,educ,degree,sex,polviews,racespeech,racehisp,num_action
Middle,No And I Will Not,No And I Will Not,1221,71,6,Less Than HS,Female,7,Allowed,Hispanic,0
Working,Before Last Year,Before Last Year,1228,64,12,HS Diploma,Male,2,Allowed,Hispanic,6
Working,No And I Will Not,No And I Will Not,1229,50,12,HS Diploma,Female,4,Not allowed,White,0
Working,No And I Will Not,No And I Will Not,1235,62,11,Less Than HS,Female,4,Not allowed,Black,2
Middle,In Past Year,In Past Year,1239,54,20,Grad/Prof Degree,Male,1,Not allowed,White,8
Middle,No But I Might,No But I Might,1252,65,12,HS Diploma,Female,3,Allowed,White,1
Middle,No But I Might,Before Last Year,1260,77,14,HS Diploma,Male,6,Not allowed,White,4
Middle,Before Last Year,Before Last Year,1261,80,15,HS Diploma,Female,2,Allowed,White,7
Middle,No And I Will Not,Before Last Year,1271,48,12,HS Diploma,Male,5,Allowed,White,4
Middle,Before Last Year,Before Last Year,1275,38,12,HS Diploma,Male,4,Allowed,Hispanic,3
Working,No But I Might,No And I Will Not,1276,58,14,HS Diploma,Male,4,Allowed,White,4
Working,No And I Will Not,No And I Will Not,1279,45,11,Less Than HS,Female,2,Allowed,Hispanic,0
Middle,Before Last Year,Before Last Year,1287,41,14,HS Diploma,Female,2,Allowed,White,7
Working,No But I Might,No But I Might,1288,27,12,HS Diploma,Female,1,Allowed,Hispanic,0
Middle,No But I Might,No But I Might,1308,21,13,HS Diploma,Male,4,Allowed,White,1
Working,Before Last Year,Before Last Year,1310,34,13,HS Diploma,Female,2,Allowed,White,6
Middle,Before Last Year,Before Last Year,1312,48,18,Grad/Prof Degree,Female,2,Allowed,White,8
Working,In Past Year,No But I Might,1313,27,17,College Degree,Male,2,Not allowed,Other,3
Middle,No And I Will Not,No And I Will Not,1315,48,17,College Degree,Female,4,Not allowed,White,4
Middle,In Past Year,No But I Might,1318,59,16,College Degree,Female,3,Allowed,White,6
Middle,No But I Might,No But I Might,1319,52,16,College Degree,Female,6,Allowed,White,1
Middle,No But I Might,No But I Might,1323,41,20,Grad/Prof Degree,Male,6,Allowed,White,2
Middle,No And I Will Not,Before Last Year,1324,62,13,HS Diploma,Female,4,Not allowed,Black,2
Middle,No But I Might,In Past Year,1329,33,18,Grad/Prof Degree,Male,5,Allowed,White,3
Working,No And I Will Not,No And I Will Not,1330,61,7,Less Than HS,Female,5,Not allowed,Hispanic,0
Middle,No But I Might,No But I Might,1332,37,12,HS Diploma,Male,5,Allowed,White,0
Working,No But I Might,No But I Might,1338,33,18,College Degree,Female,2,Allowed,White,3
Middle,No But I Might,Before Last Year,1346,32,16,College Degree,Male,4,Allowed,White,6
Middle,In Past Year,No But I Might,1348,37,14,HS Diploma,Male,5,Not allowed,White,3
Lower,No But I Might,No But I Might,1352,73,12,HS Diploma,Female,7,Allowed,White,1
Middle,No But I Might,No And I Will Not,1362,45,11,Less Than HS,Male,5,Allowed,White,0
Middle,No But I Might,Before Last Year,1364,75,12,HS Diploma,Male,2,Allowed,Black,5
Working,No But I Might,No But I Might,1367,54,16,HS Diploma,Female,3,Allowed,White,1
Middle,No But I Might,No But I Might,1368,70,12,HS Diploma,Male,4,Not allowed,White,0
Middle,No And I Will Not,Before Last Year,1370,79,14,HS Diploma,Female,3,Allowed,White,2
Middle,No But I Might,Before Last Year,1372,44,13,HS Diploma,Female,4,Allowed,White,4
Middle,No But I Might,No But I Might,1378,41,12,HS Diploma,Female,6,Allowed,White,5
Middle,No But I Might,No But I Might,1380,54,19,Grad/Prof Degree,Male,2,Allowed,White,2
Middle,In Past Year,No But I Might,1381,20,12,HS Diploma,Female,4,Not allowed,White,2
Working,No And I Will Not,No But I Might,1382,54,12,HS Diploma,Female,4,Allowed,White,4
Working,No But I Might,No But I Might,1387,53,9,Less Than HS,Male,5,Allowed,White,2
Lower,Before Last Year,Before Last Year,1390,51,12,HS Diploma,Male,1,Not allowed,White,6
Middle,Before Last Year,Before Last Year,1393,68,15,Some College,Male,4,Allowed,White,6
Working,No And I Will Not,No And I Will Not,1394,72,10,Less Than HS,Female,4,Not allowed,White,0
Middle,Before Last Year,Before Last Year,1399,67,16,Grad/Prof Degree,Male,2,Allowed,White,7
Middle,No And I Will Not,No But I Might,1404,58,12,HS Diploma,Male,4,Allowed,White,2
Middle,Before Last Year,In Past Year,1405,43,18,Grad/Prof Degree,Female,2,Allowed,White,8
Middle,Before Last Year,Before Last Year,1406,65,20,Grad/Prof Degree,Female,2,Not allowed,White,5
Working,No And I Will Not,No And I Will Not,1415,47,9,HS Diploma,Male,4,Allowed,White,1
Middle,In Past Year,In Past Year,1418,37,15,College Degree,Male,2,Allowed,White,7
Working,No But I Might,No But I Might,1420,28,18,Grad/Prof Degree,Male,1,Allowed,Other,2
Middle,Before Last Year,In Past Year,1422,26,16,College Degree,Female,1,Allowed,White,8
Middle,No And I Will Not,No But I Might,1425,40,12,HS Diploma,Female,6,Allowed,White,0
Middle,No But I Might,Before Last Year,1427,68,15,HS Diploma,Female,3,Not allowed,White,5
Middle,No But I Might,Before Last Year,1439,74,12,HS Diploma,Female,4,Not allowed,Other,3
Working,No And I Will Not,No But I Might,1443,35,13,HS Diploma,Female,4,Allowed,White,2
Working,No And I Will Not,No And I Will Not,1456,61,12,HS Diploma,Male,4,Not allowed,White,2
Working,Before Last Year,Before Last Year,1458,81,14,HS Diploma,Male,6,Allowed,White,5
Working,No And I Will Not,No But I Might,1461,31,10,HS Diploma,Male,4,Allowed,White,0
Middle,No But I Might,No But I Might,1469,67,12,HS Diploma,Female,5,Allowed,White,1
Working,No And I Will Not,No But I Might,1471,56,12,HS Diploma,Male,4,Allowed,White,0
Working,No And I Will Not,No And I Will Not,1472,63,16,College Degree,Male,4,Allowed,White,0
Middle,No And I Will Not,No And I Will Not,1476,51,12,HS Diploma,Female,5,Allowed,White,2
Working,No But I Might,No But I Might,1479,27,16,College Degree,Male,4,Allowed,White,2
Middle,No But I Might,Before Last Year,1482,75,14,HS Diploma,Female,4,Allowed,White,4
Middle,No But I Might,No But I Might,1483,61,12,HS Diploma,Male,4,Not allowed,White,3
Working,No But I Might,No But I Might,1485,42,15,HS Diploma,Female,2,Allowed,White,5
Lower,Before Last Year,Before Last Year,1491,74,12,HS Diploma,Male,6,Allowed,White,6
Working,Before Last Year,Before Last Year,1492,35,14,HS Diploma,Male,2,Not allowed,White,4
Working,No But I Might,Before Last Year,1496,73,14,Some College,Female,6,Allowed,White,5
Working,No And I Will Not,No But I Might,1503,34,14,HS Diploma,Female,4,Allowed,White,0
Working,No But I Might,In Past Year,1505,67,12,HS Diploma,Male,7,Not allowed,White,2
Middle,No But I Might,No But I Might,1511,63,15,HS Diploma,Male,5,Allowed,White,3
Middle,No But I Might,No But I Might,1514,42,16,College Degree,Male,6,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,1515,64,12,HS Diploma,Female,5,Not allowed,White,1
Middle,No But I Might,No And I Will Not,1516,34,16,College Degree,Female,2,Allowed,White,3
Lower,No And I Will Not,No But I Might,1520,37,10,Less Than HS,Female,5,Not allowed,Black,0
Working,In Past Year,Before Last Year,1524,50,12,HS Diploma,Female,5,Allowed,White,4
Middle,Before Last Year,Before Last Year,1530,84,17,College Degree,Female,1,Allowed,White,7
Middle,No But I Might,No But I Might,1533,23,16,College Degree,Male,4,Allowed,White,3
Working,Before Last Year,In Past Year,1534,56,16,College Degree,Female,4,Allowed,White,6
Working,No But I Might,No And I Will Not,1541,28,10,Less Than HS,Female,4,Allowed,White,0
Working,No But I Might,No And I Will Not,1543,32,12,HS Diploma,Male,6,Not allowed,White,0
Middle,No But I Might,In Past Year,1544,41,16,Grad/Prof Degree,Male,6,Not allowed,White,5
Working,No But I Might,Before Last Year,1551,63,12,HS Diploma,Male,7,Not allowed,White,3
Working,No And I Will Not,No And I Will Not,1554,67,12,HS Diploma,Male,4,Not allowed,White,0
Middle,In Past Year,Before Last Year,1560,38,16,Grad/Prof Degree,Male,4,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,1567,59,13,HS Diploma,Male,4,Allowed,White,1
Working,No And I Will Not,No And I Will Not,1569,57,12,HS Diploma,Female,4,Not allowed,Black,0
Working,No And I Will Not,In Past Year,1572,87,16,College Degree,Male,6,Allowed,White,2
Working,No And I Will Not,No But I Might,1573,33,14,Some College,Male,6,Allowed,White,1
Upper,No And I Will Not,No And I Will Not,1574,62,11,Less Than HS,Female,4,Not allowed,Black,0
Working,No And I Will Not,No And I Will Not,1582,67,10,Less Than HS,Male,4,Allowed,Black,1
Working,No And I Will Not,No And I Will Not,1587,31,12,HS Diploma,Female,4,Not allowed,Black,1
Middle,No But I Might,No And I Will Not,1592,51,20,Grad/Prof Degree,Male,4,Not allowed,White,2
Middle,No But I Might,Before Last Year,1595,29,8,Less Than HS,Male,4,Not allowed,White,2
Working,No And I Will Not,No And I Will Not,1596,66,12,HS Diploma,Female,4,Allowed,White,1
Working,No And I Will Not,No And I Will Not,1598,69,16,College Degree,Female,4,Allowed,White,1
Middle,Before Last Year,Before Last Year,1600,67,18,College Degree,Female,5,Allowed,White,7
Lower,No But I Might,No But I Might,1606,34,13,HS Diploma,Male,4,Allowed,Black,0
Working,No And I Will Not,No And I Will Not,1612,66,8,Less Than HS,Female,4,Allowed,White,1
Working,No But I Might,No But I Might,1620,74,11,Less Than HS,Female,3,Not allowed,Black,1
Working,No But I Might,No But I Might,1623,47,12,HS Diploma,Female,4,Allowed,Black,2
Lower,No But I Might,No And I Will Not,1624,38,11,HS Diploma,Female,3,Allowed,Black,1
Lower,No But I Might,No But I Might,1627,23,11,Less Than HS,Male,4,Not allowed,White,2
Middle,No But I Might,No But I Might,1628,18,10,HS Diploma,Female,4,Allowed,White,0
Middle,No But I Might,No And I Will Not,1630,31,16,College Degree,Female,4,Not allowed,Black,3
Working,No And I Will Not,No But I Might,1631,42,15,Some College,Female,6,Allowed,White,2
Middle,Before Last Year,Before Last Year,1634,73,12,HS Diploma,Male,6,Allowed,White,6
Middle,Before Last Year,Before Last Year,1636,50,14,Some College,Female,2,Allowed,White,6
Middle,No And I Will Not,No And I Will Not,1637,49,13,HS Diploma,Female,4,Not allowed,Black,0
Working,No But I Might,Before Last Year,1642,33,13,HS Diploma,Female,4,Allowed,Black,2
Middle,No And I Will Not,No And I Will Not,1650,73,16,College Degree,Female,6,Allowed,White,3
Upper,No But I Might,Before Last Year,1652,72,16,College Degree,Male,3,Allowed,White,6
Middle,No And I Will Not,No But I Might,1654,80,16,College Degree,Female,6,Not allowed,White,2
Working,In Past Year,No But I Might,1659,21,12,HS Diploma,Female,1,Not allowed,White,6
Middle,Before Last Year,Before Last Year,1660,70,19,Grad/Prof Degree,Female,4,Allowed,White,6
Working,No And I Will Not,No And I Will Not,1665,48,12,HS Diploma,Male,4,Allowed,Hispanic,0
Middle,No But I Might,No But I Might,1666,66,13,HS Diploma,Male,4,Allowed,White,1
Working,No And I Will Not,No And I Will Not,1674,36,10,HS Diploma,Male,4,Allowed,Hispanic,0
Working,No And I Will Not,No But I Might,1677,42,14,HS Diploma,Female,5,Allowed,White,1
Middle,No But I Might,No But I Might,1686,59,18,Grad/Prof Degree,Male,5,Not allowed,White,2
Middle,Before Last Year,No But I Might,1688,46,12,HS Diploma,Female,7,Allowed,White,3
Middle,No And I Will Not,No But I Might,1695,88,12,HS Diploma,Female,5,Not allowed,White,1
Working,No And I Will Not,In Past Year,1699,70,14,HS Diploma,Female,4,Not allowed,White,5
Working,No And I Will Not,No And I Will Not,1701,65,10,Less Than HS,Male,4,Not allowed,White,1
Middle,No And I Will Not,No But I Might,1704,57,12,HS Diploma,Female,5,Allowed,White,4
Middle,No And I Will Not,No And I Will Not,1709,42,20,Grad/Prof Degree,Female,4,Allowed,Black,3
Working,No But I Might,No But I Might,1712,44,16,College Degree,Female,4,Allowed,Black,3
Lower,No But I Might,No But I Might,1713,23,16,College Degree,Female,6,Not allowed,Black,0
Middle,No But I Might,No But I Might,1715,31,12,HS Diploma,Female,4,Allowed,Black,1
Working,No But I Might,No But I Might,1717,21,14,HS Diploma,Male,6,Not allowed,Black,0
Middle,No And I Will Not,No But I Might,1720,59,11,HS Diploma,Female,5,Allowed,Black,0
Lower,In Past Year,In Past Year,1722,68,16,College Degree,Male,2,Allowed,Black,7
Working,No And I Will Not,No And I Will Not,1729,69,12,HS Diploma,Female,4,Allowed,Black,0
Working,No And I Will Not,Before Last Year,1730,47,12,HS Diploma,Male,2,Not allowed,Black,3
Middle,No But I Might,In Past Year,1739,76,11,HS Diploma,Female,4,Allowed,White,4
Working,No But I Might,No But I Might,1740,31,12,HS Diploma,Male,6,Allowed,White,1
Working,No But I Might,No But I Might,1743,29,14,Some College,Female,6,Allowed,White,2
Working,No But I Might,No But I Might,1746,43,16,College Degree,Female,4,Allowed,Black,2
Working,No And I Will Not,No But I Might,1749,69,12,HS Diploma,Female,7,Allowed,White,3
Working,No But I Might,No But I Might,1753,65,14,HS Diploma,Male,3,Allowed,White,2
Upper,No And I Will Not,No But I Might,1754,75,20,Grad/Prof Degree,Male,2,Not allowed,Other,4
Middle,No But I Might,Before Last Year,1755,45,16,College Degree,Male,7,Allowed,White,7
Middle,No But I Might,Before Last Year,1757,52,16,College Degree,Female,5,Allowed,White,3
Middle,No And I Will Not,No And I Will Not,1760,79,16,Grad/Prof Degree,Female,5,Allowed,White,1
Middle,No But I Might,No But I Might,1765,67,18,Grad/Prof Degree,Male,4,Allowed,White,5
Working,No But I Might,Before Last Year,1768,57,19,Grad/Prof Degree,Female,6,Allowed,White,5
Working,Before Last Year,No But I Might,1772,27,14,HS Diploma,Male,4,Allowed,White,4
Middle,No And I Will Not,No But I Might,1773,61,14,HS Diploma,Female,6,Not allowed,White,4
Middle,Before Last Year,No But I Might,1774,54,12,HS Diploma,Female,2,Allowed,White,6
Working,No And I Will Not,No And I Will Not,1776,81,12,HS Diploma,Female,2,Allowed,White,2
Middle,No And I Will Not,No And I Will Not,1783,57,12,HS Diploma,Female,3,Not allowed,White,1
Lower,No And I Will Not,No And I Will Not,1785,46,13,HS Diploma,Female,2,Allowed,White,0
Middle,Before Last Year,In Past Year,1786,66,16,College Degree,Male,6,Allowed,White,7
Middle,No And I Will Not,No But I Might,1787,79,16,College Degree,Female,2,Allowed,White,1
Working,No But I Might,No But I Might,1789,24,13,HS Diploma,Male,4,Allowed,White,0
Middle,No But I Might,Before Last Year,1793,62,14,HS Diploma,Female,3,Not allowed,White,6
Middle,No And I Will Not,No And I Will Not,1794,81,12,HS Diploma,Female,3,Not allowed,White,2
Middle,Before Last Year,In Past Year,1798,51,16,College Degree,Female,2,Allowed,White,8
Working,No And I Will Not,No And I Will Not,1799,42,14,HS Diploma,Male,5,Allowed,White,2
Working,No But I Might,Before Last Year,1800,34,12,HS Diploma,Female,4,Not allowed,White,5
