"id","mntlhlth","degree"
2279,0,"Grad/Prof degree"
2280,0,"High school"
2284,0,"High school"
2286,8,"High school"
2287,0,"Less than high school"
2292,1,"High school"
2293,0,"High school"
2297,7,"High school"
2302,14,"High school"
2306,2,"High school"
2308,3,"High school"
2315,0,"High school"
2316,0,"Less than high school"
2317,0,"College degree"
2319,30,"High school"
2320,0,"High school"
2322,0,"College degree"
2323,0,"Some college"
2326,0,"College degree"
2327,0,"High school"
2331,0,"Some college"
2336,3,"Grad/Prof degree"
2337,20,"College degree"
2340,2,"High school"
2344,0,"High school"
2345,0,"High school"
