"id","mntlhlth","degree"
504,0,"High school"
505,0,"High school"
507,0,"Grad/Prof degree"
508,2,"College degree"
509,0,"Grad/Prof degree"
510,1,"College degree"
511,0,"Grad/Prof degree"
512,0,"College degree"
514,3,"College degree"
516,0,"High school"
519,7,"College degree"
522,7,"High school"
523,0,"High school"
524,3,"High school"
525,2,"High school"
527,0,"High school"
528,2,"High school"
530,3,"High school"
531,0,"High school"
533,0,"High school"
534,0,"Grad/Prof degree"
536,0,"High school"
538,2,"College degree"
539,5,"High school"
540,5,"High school"
541,25,"Grad/Prof degree"
543,0,"College degree"
544,0,"High school"
545,5,"Some college"
551,1,"College degree"
552,1,"High school"
553,2,"College degree"
555,0,"College degree"
556,0,"Some college"
559,1,"College degree"
560,20,"Grad/Prof degree"
562,0,"High school"
563,2,"College degree"
564,0,"College degree"
565,1,"High school"
567,0,"College degree"
569,0,"College degree"
571,10,"Grad/Prof degree"
573,5,"Grad/Prof degree"
574,0,"High school"
576,0,"High school"
578,2,"High school"
579,0,"High school"
581,10,"Grad/Prof degree"
582,0,"High school"
583,8,"High school"
584,14,"High school"
585,30,"High school"
586,0,"Less than high school"
587,0,"College degree"
588,0,"Some college"
589,25,"College degree"
590,0,"High school"
592,0,"College degree"
593,0,"High school"
594,0,"High school"
596,0,"High school"
597,0,"High school"
599,0,"Grad/Prof degree"
600,0,"High school"
603,0,"High school"
608,0,"High school"
611,3,"Less than high school"
612,0,"Less than high school"
613,0,"Less than high school"
622,2,"High school"
623,2,"Grad/Prof degree"
624,0,"High school"
626,0,"High school"
628,7,"Grad/Prof degree"
630,10,"College degree"
633,0,"High school"
634,0,"High school"
635,0,"Grad/Prof degree"
636,0,"High school"
637,0,"High school"
639,10,"High school"
640,0,"High school"
641,0,"College degree"
642,0,"High school"
643,0,"Some college"
644,0,"High school"
646,0,"Grad/Prof degree"
647,3,"High school"
648,2,"Less than high school"
653,2,"Grad/Prof degree"
654,3,"College degree"
655,0,"High school"
657,0,"High school"
658,0,"High school"
660,0,"High school"
662,0,"High school"
664,5,"High school"
665,0,"College degree"
666,0,"College degree"
667,0,"Some college"
668,7,"College degree"
670,5,"High school"
671,0,"College degree"
672,0,"High school"
673,0,"High school"
675,0,"Some college"
677,0,"High school"
679,0,"High school"
681,0,"High school"
682,0,"College degree"
683,0,"Some college"
685,0,"High school"
691,0,"High school"
692,30,"High school"
693,0,"Grad/Prof degree"
695,0,"High school"
696,20,"High school"
698,30,"High school"
699,0,"College degree"
701,0,"High school"
704,0,"Less than high school"
706,3,"High school"
707,0,"High school"
708,0,"High school"
713,0,"Grad/Prof degree"
715,0,"Less than high school"
716,3,"Grad/Prof degree"
718,0,"Grad/Prof degree"
719,0,"Grad/Prof degree"
720,0,"Grad/Prof degree"
722,0,"College degree"
726,0,"Some college"
727,0,"High school"
728,0,"High school"
729,0,"High school"
730,5,"High school"
731,0,"Some college"
732,0,"High school"
734,8,"Less than high school"
736,1,"High school"
739,0,"High school"
740,0,"Grad/Prof degree"
741,10,"High school"
742,1,"College degree"
743,0,"Less than high school"
744,10,"High school"
746,0,"High school"
747,30,"College degree"
748,0,"High school"
749,0,"High school"
750,14,"High school"
752,1,"High school"
755,0,"High school"
757,0,"College degree"
762,7,"College degree"
764,3,"Some college"
765,0,"High school"
766,2,"College degree"
768,0,"High school"
769,2,"High school"
770,5,"College degree"
771,0,"College degree"
774,0,"High school"
775,5,"Some college"
776,5,"Some college"
778,0,"Less than high school"
779,3,"College degree"
781,0,"College degree"
782,0,"High school"
784,0,"Some college"
785,1,"High school"
786,0,"High school"
787,0,"High school"
789,22,"High school"
790,12,"Some college"
793,5,"High school"
796,5,"Some college"
798,25,"High school"
799,3,"High school"
801,0,"Less than high school"
804,4,"College degree"
805,5,"Less than high school"
807,0,"Grad/Prof degree"
808,1,"High school"
809,4,"Some college"
811,0,"College degree"
812,30,"College degree"
813,7,"College degree"
814,0,"High school"
815,1,"High school"
816,0,"High school"
821,0,"Grad/Prof degree"
827,2,"High school"
828,0,"College degree"
829,0,"College degree"
831,0,"College degree"
833,0,"High school"
834,0,"High school"
836,0,"College degree"
839,12,"Some college"
840,0,"Less than high school"
841,0,"Less than high school"
842,0,"High school"
843,0,"High school"
845,0,"High school"
847,0,"High school"
848,0,"Some college"
849,3,"High school"
850,0,"Some college"
854,0,"College degree"
855,0,"High school"
856,5,"Some college"
859,0,"College degree"
861,0,"College degree"
862,0,"College degree"
863,0,"High school"
865,0,"High school"
867,0,"High school"
869,0,"High school"
871,0,"Less than high school"
873,3,"College degree"
876,0,"College degree"
877,0,"College degree"
878,0,"Grad/Prof degree"
880,0,"Grad/Prof degree"
882,3,"College degree"
883,30,"High school"
884,0,"College degree"
885,10,"Some college"
886,30,"High school"
887,0,"College degree"
890,10,"College degree"
892,0,"College degree"
895,0,"High school"
896,0,"Less than high school"
900,0,"High school"
902,3,"High school"
903,30,"High school"
904,0,"High school"
913,0,"High school"
914,0,"High school"
915,30,"High school"
916,4,"High school"
918,2,"High school"
922,30,"High school"
923,0,"High school"
924,0,"College degree"
925,0,"College degree"
926,0,"High school"
927,3,"College degree"
928,0,"High school"
929,0,"Grad/Prof degree"
934,0,"College degree"
935,5,"Some college"
937,0,"Grad/Prof degree"
938,0,"Grad/Prof degree"
941,3,"Some college"
945,0,"High school"
948,0,"High school"
949,0,"High school"
952,0,"College degree"
953,12,"College degree"
954,0,"Less than high school"
960,0,"Less than high school"
961,2,"College degree"
962,0,"College degree"
963,2,"High school"
966,30,"High school"
967,0,"High school"
968,4,"High school"
969,0,"High school"
970,30,"Less than high school"
971,2,"High school"
972,10,"High school"
973,0,"Less than high school"
974,0,"Some college"
975,0,"High school"
977,0,"College degree"
978,2,"High school"
980,5,"Grad/Prof degree"
981,0,"College degree"
982,2,"College degree"
985,4,"College degree"
986,0,"Grad/Prof degree"
987,20,"College degree"
988,7,"College degree"
989,20,"High school"
990,30,"High school"
992,15,"High school"
995,4,"High school"
996,1,"High school"
998,2,"High school"
1001,1,"Some college"
1004,30,"College degree"
1005,0,"College degree"
1006,0,"Grad/Prof degree"
1007,0,"College degree"
1008,3,"College degree"
1009,0,"College degree"
1010,0,"Grad/Prof degree"
1011,29,"High school"
1012,0,"High school"
1013,2,"College degree"
1014,15,"Grad/Prof degree"
1015,2,"College degree"
1016,0,"Some college"
1018,0,"High school"
1019,0,"High school"
1021,15,"Some college"
1022,2,"High school"
1025,0,"College degree"
1026,0,"Some college"
1027,30,"High school"
1029,0,"High school"
1030,2,"College degree"
1031,0,"High school"
1033,0,"High school"
1034,15,"College degree"
1035,0,"Some college"
1036,3,"Less than high school"
1038,2,"College degree"
1040,2,"Grad/Prof degree"
1041,0,"College degree"
1043,0,"Grad/Prof degree"
1045,14,"College degree"
1052,0,"High school"
1058,0,"High school"
1059,0,"High school"
1060,2,"High school"
1061,3,"High school"
1062,10,"Less than high school"
1064,0,"High school"
1065,0,"High school"
1066,0,"High school"
1068,0,"Some college"
1069,0,"High school"
1070,0,"Some college"
1074,0,"High school"
1075,0,"High school"
1076,0,"College degree"
1078,0,"College degree"
1079,0,"Less than high school"
1081,0,"High school"
1083,0,"Less than high school"
1084,0,"High school"
1085,0,"High school"
1086,5,"College degree"
1089,0,"High school"
1090,0,"Grad/Prof degree"
1091,0,"College degree"
1092,0,"Grad/Prof degree"
1093,1,"College degree"
1095,0,"High school"
1096,2,"College degree"
1097,10,"High school"
1098,5,"College degree"
1099,0,"High school"
1103,15,"High school"
1105,0,"High school"
1106,0,"High school"
1107,2,"High school"
1108,0,"Some college"
1110,5,"College degree"
1111,3,"High school"
1114,4,"High school"
1115,0,"High school"
1117,15,"High school"
1119,0,"High school"
1121,2,"High school"
1123,15,"Some college"
1126,0,"College degree"
1129,5,"College degree"
1134,0,"College degree"
1135,0,"Grad/Prof degree"
1137,0,"Less than high school"
1138,2,"High school"
1142,0,"Some college"
1143,0,"High school"
1145,6,"Grad/Prof degree"
1148,0,"High school"
1150,15,"College degree"
1154,0,"High school"
1155,1,"High school"
1156,30,"College degree"
1158,0,"Some college"
1160,0,"College degree"
1164,0,"Grad/Prof degree"
1165,0,"College degree"
1170,0,"College degree"
1171,0,"College degree"
1172,4,"High school"
1174,4,"College degree"
1175,0,"College degree"
1177,0,"High school"
1181,30,"High school"
1182,3,"High school"
1183,2,"High school"
1189,0,"High school"
1190,1,"College degree"
1191,0,"Some college"
1193,1,"High school"
1197,3,"College degree"
1200,30,"Less than high school"
1202,0,"Grad/Prof degree"
1204,0,"College degree"
1207,4,"High school"
1212,0,"High school"
1213,0,"High school"
1214,1,"College degree"
1215,7,"High school"
1217,0,"High school"
1218,15,"High school"
1219,0,"High school"
1221,1,"College degree"
1223,2,"Less than high school"
1225,30,"High school"
1226,0,"Grad/Prof degree"
1228,5,"High school"
1229,0,"Less than high school"
1230,0,"Some college"
1231,20,"High school"
1232,0,"High school"
1233,0,"Some college"
1234,1,"High school"
1236,30,"College degree"
1238,0,"High school"
1239,0,"High school"
1241,0,"Grad/Prof degree"
1243,0,"College degree"
1245,3,"High school"
1249,0,"Less than high school"
1251,0,"High school"
1254,2,"High school"
1255,0,"High school"
1256,0,"High school"
1258,0,"High school"
1260,0,"College degree"
1261,0,"College degree"
1263,2,"College degree"
1265,10,"College degree"
1266,5,"College degree"
1267,3,"Some college"
1269,0,"Some college"
1272,0,"High school"
1273,0,"High school"
1274,2,"High school"
1277,0,"Less than high school"
1279,10,"College degree"
1280,0,"High school"
1281,0,"College degree"
1282,15,"Some college"
1283,0,"College degree"
1284,15,"High school"
1285,0,"High school"
1287,2,"Grad/Prof degree"
1289,0,"Some college"
1290,0,"High school"
1292,0,"High school"
1293,0,"High school"
1294,0,"High school"
1295,0,"Less than high school"
1301,5,"College degree"
1304,0,"College degree"
