"county_fips","name","hhincome"
40093,"Major County, OK",47480
38097,"Traill County, ND",47452
49033,"Rich County, UT",47408
19151,"Pocahontas County, IA",47401
31057,"Dundy County, NE",47351
27015,"Brown County, MN",47342
48103,"Crane County, TX",47304
56019,"Johnson County, WY",47295
48205,"Hartley County, TX",47290
31017,"Brown County, NE",47211
27145,"Stearns County, MN",47134
30057,"Madison County, MT",47118
31121,"Merrick County, NE",47115
19081,"Hancock County, IA",47103
38077,"Richland County, ND",47023
27157,"Wabasha County, MN",47021
20063,"Gove County, KS",47002
31069,"Garden County, NE",46998
30045,"Judith Basin County, MT",46987
19075,"Grundy County, IA",46945
31071,"Garfield County, NE",46940
19147,"Palo Alto County, IA",46896
31113,"Logan County, NE",46872
20117,"Marshall County, KS",46863
31167,"Stanton County, NE",46849
31007,"Banner County, NE",46827
49047,"Uintah County, UT",46779
31177,"Washington County, NE",46779
49027,"Millard County, UT",46772
19165,"Shelby County, IA",46725
40129,"Roger Mills County, OK",46676
31159,"Seward County, NE",46667
56039,"Teton County, WY",46571
32009,"Esmeralda County, NV",46534
20183,"Smith County, KS",46524
31097,"Johnson County, NE",46424
27107,"Norman County, MN",46411
55093,"Pierce County, WI",46404
48045,"Briscoe County, TX",46286
20069,"Gray County, KS",46268
19017,"Bremer County, IA",46233
27101,"Murray County, MN",46202
46011,"Brookings County, SD",46173
20153,"Rawlins County, KS",46169
16007,"Bear Lake County, ID",46153
42113,"Sullivan County, PA",46148
19019,"Buchanan County, IA",46139
31137,"Phelps County, NE",46127
30043,"Jefferson County, MT",46083
27041,"Douglas County, MN",46078
27093,"Meeker County, MN",46050
30073,"Pondera County, MT",46016
27153,"Todd County, MN",45995
16041,"Franklin County, ID",45979
19095,"Iowa County, IA",45935
19091,"Humboldt County, IA",45931
27159,"Wadena County, MN",45898
38015,"Burleigh County, ND",45894
31161,"Sheridan County, NE",45877
49001,"Beaver County, UT",45858
46123,"Tripp County, SD",45825
20051,"Ellis County, KS",45775
19005,"Allamakee County, IA",45732
48383,"Reagan County, TX",45728
30015,"Chouteau County, MT",45646
27039,"Dodge County, MN",45599
31175,"Valley County, NE",45570
20193,"Thomas County, KS",45564
20147,"Phillips County, KS",45543
31081,"Hamilton County, NE",45536
19105,"Jones County, IA",45527
27113,"Pennington County, MN",45506
31123,"Morrill County, NE",45467
53043,"Lincoln County, WA",45462
20187,"Stanton County, KS",45442
20201,"Washington County, KS",45424
27077,"Lake of the Woods County, MN",45362
46037,"Day County, SD",45359
48495,"Winkler County, TX",45347
48095,"Concho County, TX",45339
49055,"Wayne County, UT",45307
35011,"De Baca County, NM",45304
46117,"Stanley County, SD",45302
16081,"Teton County, ID",45293
46051,"Grant County, SD",45291
20135,"Ness County, KS",45272
30009,"Carbon County, MT",45246
49051,"Wasatch County, UT",45223
38099,"Walsh County, ND",45205
27151,"Swift County, MN",45198
17013,"Calhoun County, IL",45178
46033,"Custer County, SD",45128
48319,"Mason County, TX",45123
30099,"Teton County, MT",45098
31141,"Platte County, NE",45095
49013,"Duchesne County, UT",45080
31021,"Burt County, NE",45052
48421,"Sherman County, TX",45045
31093,"Howard County, NE",45045
31133,"Pawnee County, NE",45027
46127,"Union County, SD",44990
19011,"Benton County, IA",44942
48475,"Ward County, TX",44917
56005,"Campbell County, WY",44903
36079,"Putnam County, NY",44829
48447,"Throckmorton County, TX",44808
56035,"Sublette County, WY",44783
48357,"Ochiltree County, TX",44767
34003,"Bergen County, NJ",44748
20017,"Chase County, KS",44725
55065,"Lafayette County, WI",44715
30065,"Musselshell County, MT",44651
19189,"Winnebago County, IA",44632
8117,"Summit County, CO",44584
27029,"Clearwater County, MN",44558
27055,"Houston County, MN",44552
27103,"Nicollet County, MN",44511
16029,"Caribou County, ID",44506
19077,"Guthrie County, IA",44493
48501,"Yoakum County, TX",44475
27019,"Carver County, MN",44436
8009,"Baca County, CO",44436
19047,"Crawford County, IA",44266
56031,"Platte County, WY",44240
31045,"Dawes County, NE",44233
31095,"Jefferson County, NE",44225
16065,"Madison County, ID",44223
8061,"Kiowa County, CO",44204
55043,"Grant County, WI",44200
40007,"Beaver County, OK",44175
27033,"Cottonwood County, MN",44145
19063,"Emmet County, IA",44127
56009,"Converse County, WY",44116
46083,"Lincoln County, SD",44115
48443,"Terrell County, TX",44074
2230,"Skagway Municipality, AK",44062
18087,"LaGrange County, IN",44024
19065,"Fayette County, IA",44022
27073,"Lac qui Parle County, MN",44012
19061,"Dubuque County, IA",43958
19031,"Cedar County, IA",43958
19097,"Jackson County, IA",43953
48065,"Carson County, TX",43948
55011,"Buffalo County, WI",43927
27023,"Chippewa County, MN",43913
31151,"Saline County, NE",43909
8063,"Kit Carson County, CO",43897
20123,"Mitchell County, KS",43885
20137,"Norton County, KS",43866
8113,"San Miguel County, CO",43860
51600,"Fairfax city, VA",43847
20165,"Rush County, KS",43794
31013,"Box Butte County, NE",43786
27111,"Otter Tail County, MN",43778
38093,"Stutsman County, ND",43760
20029,"Cloud County, KS",43757
38101,"Ward County, ND",43750
20007,"Barber County, KS",43749
31155,"Saunders County, NE",43735
17085,"Jo Daviess County, IL",43725
48285,"Lavaca County, TX",43720
8125,"Yuma County, CO",43713
20089,"Jewell County, KS",43706
30007,"Broadwater County, MT",43705
48033,"Borden County, TX",43698
46091,"Marshall County, SD",43694
51059,"Fairfax County, VA",43690
27167,"Wilkin County, MN",43657
27085,"McLeod County, MN",43578
56003,"Big Horn County, WY",43555
27067,"Kandiyohi County, MN",43545
19003,"Adams County, IA",43494
19025,"Calhoun County, IA",43480
29075,"Gentry County, MO",43467
20157,"Republic County, KS",43464
55049,"Iowa County, WI",43460
48137,"Edwards County, TX",43423
48333,"Mills County, TX",43411
46013,"Brown County, SD",43409
31147,"Richardson County, NE",43368
27079,"Le Sueur County, MN",43367
29087,"Holt County, MO",43309
46101,"Moody County, SD",43289
34027,"Morris County, NJ",43281
39107,"Mercer County, OH",43261
8049,"Grand County, CO",43237
30107,"Wheatland County, MT",43222
20141,"Osborne County, KS",43219
19159,"Ringgold County, IA",43215
16033,"Clark County, ID",43173
25019,"Nantucket County, MA",43161
48263,"Kent County, TX",43159
19083,"Hardin County, IA",43152
27031,"Cook County, MN",43130
31083,"Harlan County, NE",43104
27105,"Nobles County, MN",43048
