"id","hrs1","class","region","racehisp"
281,40,"Working","West","Other"
282,66,"Working","West","White"
283,48,"Middle","West","White"
285,31,"Lower","West","White"
288,40,"Working","West","Other"
290,85,"Working","West","White"
291,40,"Working","West","Hispanic"
292,60,"Middle","West","White"
294,25,"Working","West","Hispanic"
295,30,"Middle","West","White"
298,40,"Middle","West","White"
299,30,"Working","West","White"
300,60,"Middle","West","White"
301,17,"Working","West","White"
302,50,"Middle","West","White"
303,50,"Working","Middle Atlantic","Black"
304,33,"Working","Middle Atlantic","Black"
305,40,"Middle","Middle Atlantic","Black"
306,20,"Working","Middle Atlantic","Black"
309,46,"Working","Middle Atlantic","Black"
310,47,"Working","Middle Atlantic","Black"
312,50,"Working","Middle Atlantic","Black"
315,45,"Working","Middle Atlantic","Hispanic"
316,40,"Middle","Middle Atlantic","Black"
318,5,"Middle","Middle Atlantic","Black"
319,40,"Lower","Middle Atlantic","Hispanic"
322,60,"Middle","Middle Atlantic","Black"
323,35,"Middle","Middle Atlantic","White"
325,40,"Working","Middle Atlantic","Other"
326,48,"Working","Middle Atlantic","White"
327,40,"Upper","Middle Atlantic","White"
329,26,"Working","Middle Atlantic","Black"
332,24,"Working","Middle Atlantic","Hispanic"
333,40,"Working","Middle Atlantic","Black"
337,40,"Working","South","Other"
339,28,"Working","South","White"
341,40,"Middle","South","White"
342,44,"Middle","South","White"
343,30,"Lower","South","Black"
346,43,"Working","South","Black"
347,70,"Working","South","Black"
348,35,"Middle","South","Black"
350,45,"Lower","South","White"
352,70,"Lower","South","Black"
353,45,"Working","South","Hispanic"
354,80,"Working","South","Black"
357,45,"Working","South","Hispanic"
358,40,"Working","South","Hispanic"
360,60,"Working","South","White"
361,38,"Working","South","Black"
362,40,"Working","South","Hispanic"
363,30,"Working","South","Black"
365,65,"Working","South","Black"
366,36,"Working","South","Hispanic"
367,80,"Middle","South","Hispanic"
368,40,"Working","South","Hispanic"
370,40,"Working","South","Hispanic"
371,12,"Working","South","Hispanic"
372,40,"Working","South","Hispanic"
373,46,"Working","South","Hispanic"
374,40,"Working","Midwest","Black"
375,52,"Middle","Midwest","White"
377,30,"Middle","Midwest","Black"
378,50,"Upper","Midwest","White"
379,32,"Lower","Midwest","Black"
380,25,"Working","Midwest","Black"
381,65,"Working","Midwest","Black"
383,50,"Middle","Midwest","Other"
385,25,"Middle","Midwest","White"
387,45,"Working","Midwest","White"
388,80,"Middle","Midwest","White"
390,32,"Working","Midwest","White"
391,40,"Working","Midwest","White"
395,42,"Working","Midwest","Black"
398,48,"Working","Midwest","White"
403,60,"Working","South","White"
404,80,"Working","South","White"
405,1,"Middle","South","White"
407,50,"Working","South","White"
409,40,"Working","South","White"
410,40,"Middle","South","Hispanic"
411,80,"Working","South","Hispanic"
415,40,"Middle","South","Hispanic"
417,80,"Middle","South","White"
418,40,"Working","South","Hispanic"
420,60,"Working","South","White"
421,50,"Working","South","Black"
422,40,"Middle","South","Hispanic"
424,40,"Middle","South","Black"
426,37,"Middle","South","White"
429,40,"Working","South","Black"
430,86,"Working","South","Black"
431,26,"Middle","South","Hispanic"
432,20,"Working","South","Black"
436,20,"Middle","South","White"
437,70,"Upper","South","White"
438,50,"Middle","South","White"
440,40,"Middle","South","White"
441,45,"Working","South","Hispanic"
444,50,"Upper","South","White"
446,39,"Middle","South","White"
447,32,"Working","South","Black"
448,40,"Working","South","Hispanic"
449,60,"Working","South","Hispanic"
450,32,"Working","South","Hispanic"
451,15,"Middle","South","White"
454,45,"Middle","South","White"
456,25,"Middle","South","Other"
458,40,"Middle","South","Other"
459,40,"Middle","South","White"
460,40,"Upper","South","White"
461,32,"Working","South","White"
462,40,"Working","South","Hispanic"
463,30,"Middle","South","White"
464,43,"Middle","South","Hispanic"
465,20,"Upper","South","White"
466,50,"Working","South","Hispanic"
468,44,"Middle","South","White"
469,40,"Upper","South","White"
470,70,"Middle","South","White"
471,40,"Middle","South","White"
473,40,"Working","South","Hispanic"
474,33,"Working","South","Other"
476,40,"Working","South","White"
478,30,"Working","South","Hispanic"
480,45,"Working","South","White"
481,60,"Working","South","Hispanic"
482,40,"Working","South","Other"
483,15,"Lower","South","Black"
484,9,"Working","South","Black"
486,40,"Working","South","Black"
487,58,"Middle","South","White"
488,32,"Working","South","Black"
489,50,"Upper","South","White"
491,1,"Working","South","White"
492,45,"Upper","South","White"
493,40,"Upper","South","White"
494,40,"Middle","South","White"
495,23,"Middle","New England","Hispanic"
496,10,"Upper","New England","White"
498,24,"Lower","New England","Hispanic"
499,24,"Middle","New England","White"
502,40,"Working","New England","Hispanic"
505,25,"Middle","New England","White"
506,40,"Middle","New England","White"
508,48,"Working","New England","White"
509,48,"Working","New England","White"
510,50,"Middle","New England","White"
511,42,"Working","New England","Other"
513,50,"Working","New England","White"
514,40,"Middle","New England","White"
515,40,"Middle","New England","White"
516,70,"Middle","New England","White"
517,20,"Middle","New England","White"
518,35,"Middle","New England","White"
519,40,"Upper","New England","White"
521,32,"Middle","New England","Other"
525,38,"Lower","South","Black"
526,42,"Working","South","Black"
527,15,"Middle","South","Black"
529,40,"Working","South","Black"
530,55,"Working","South","Black"
531,27,"Middle","South","White"
532,50,"Middle","South","White"
533,40,"Middle","South","White"
534,40,"Working","South","White"
535,15,"Middle","South","Hispanic"
537,20,"Working","South","White"
538,56,"Lower","South","White"
539,43,"Working","South","White"
540,40,"Middle","South","White"
541,44,"Working","South","Hispanic"
543,46,"Middle","South","White"
544,40,"Middle","South","White"
548,47,"Middle","West","Black"
549,60,"Middle","West","Hispanic"
551,41,"Working","West","Hispanic"
558,24,"Middle","West","White"
560,47,"Working","West","Hispanic"
562,37,"Middle","West","White"
563,60,"Working","West","Hispanic"
564,35,"Working","West","White"
566,38,"Working","West","White"
567,44,"Middle","West","White"
568,40,"Working","South","Hispanic"
569,70,"Working","South","Black"
570,47,"Middle","South","Black"
577,75,"Upper","South","White"
